Id,Label,Revenue
Alexander Beyer,Alexander Beyer,3255008.0
Annette Bening,Annette Bening,51853682.0
Jacki Weaver,Jacki Weaver,330792409.0
Colin Quinn,Colin Quinn,110212700.0
John Krasinski,John Krasinski,670860342.0
Liev Schreiber,Liev Schreiber,2381419948.0
Rasmus Hardiker,Rasmus Hardiker,1376234550.0
H. Jon Benjamin,H. Jon Benjamin,254536.0
Cara Delevingne,Cara Delevingne,94870340.0
Nick Swardson,Nick Swardson,1107493912.0
Lorelei Linklater,Lorelei Linklater,25352281.0
Carlos Mencia,Carlos Mencia,20255281.0
Reda Kateb,Reda Kateb,95720716.0
Eddie Griffin,Eddie Griffin,300662329.0
Essence Atkins,Essence Atkins,65703838.0
Ari Graynor,Ari Graynor,497919516.0
Denis Lavant,Denis Lavant,167396.0
Waleed Zuaiter,Waleed Zuaiter,62678608.0
David Schallipp,David Schallipp,93388.0
Julie Kavner,Julie Kavner,183135014.0
Katie Dippold,Katie Dippold,156064878.0
David Hyde Pierce,David Hyde Pierce,48764.0
Ill-Young Kim,Ill-Young Kim,38122883.0
Henry Thomas,Henry Thomas,926388674.0
Richard Portnow,Richard Portnow,808735684.0
Amy Ryan,Amy Ryan,1032027862.0
Maurice Orozco,Maurice Orozco,9015303.0
Ari Folman,Ari Folman,2283849.0
Sidse Babett Knudsen,Sidse Babett Knudsen,185155471.0
Kyle Chandler,Kyle Chandler,198523255.0
Stephanie Vogt,Stephanie Vogt,26594261.0
Anthony Mackie,Anthony Mackie,1499538872.0
Jim Gaines,Jim Gaines,156818684.0
Luke Goss,Luke Goss,13395961.0
Jonah Hill,Jonah Hill,8007497808.0
Dakota Fanning,Dakota Fanning,1455887750.0
Jean François Heckel,Jean François Heckel,2962242.0
Jason Schwartzman,Jason Schwartzman,1076615330.0
James Gandolfini,James Gandolfini,158898.0
Robert Pattinson,Robert Pattinson,1000058071.0
Sally Hawkins,Sally Hawkins,61000138.0
Will Yun Lee,Will Yun Lee,1944444133.0
Tony Curran,Tony Curran,124735519.0
Chris Riggi,Chris Riggi,87890875.0
Michael C. Hall,Michael C. Hall,1056949067.0
Kristina Anapau,Kristina Anapau,19297522.0
Jean Smart,Jean Smart,158776551.0
Michael Chernus,Michael Chernus,841733.0
Jesse L. Martin,Jesse L. Martin,67578741.0
Victor Webster,Victor Webster,36099.0
Tempestt Bledsoe,Tempestt Bledsoe,101270.0
Will Forte,Will Forte,3618542701.0
Gabriel Macht,Gabriel Macht,370716213.0
Molly Harmon,Molly Harmon,54333290.0
Joey Wells,Joey Wells,32244051.0
Charlize Theron,Charlize Theron,12325920825.0
Breckin Meyer,Breckin Meyer,2078239675.0
Trombone Shorty,Trombone Shorty,130178411.0
Seth MacFarlane,Seth MacFarlane,5971704033.0
Zach Galifianakis,Zach Galifianakis,15089504177.0
Adam LeFevre,Adam LeFevre,45610425.0
Anna Paquin,Anna Paquin,153019.0
Bailey Anne Borders,Bailey Anne Borders,1036438501.0
Ashley Tisdale,Ashley Tisdale,174498221.0
Samantha Morton,Samantha Morton,258731654.0
Bill Nighy,Bill Nighy,1509099856.0
Mike Howard,Mike Howard,172570830.0
Katee Sackhoff,Katee Sackhoff,69720381.0
James Caan,James Caan,8521724564.0
Jon Daly,Jon Daly,9592376995.0
Kevin Zegers,Kevin Zegers,31165421.0
Mary Callaghan Lynch,Mary Callaghan Lynch,13043363.0
Mike Myers,Mike Myers,622137379.0
Auli'i Cravalho,Auli'i Cravalho,248757044.0
Alice Greczyn,Alice Greczyn,511014497.0
Frankie Faison,Frankie Faison,14682684.0
Pierce Gagnon,Pierce Gagnon,3591299.0
Tim Belden,Tim Belden,4071700.0
Emma Bell,Emma Bell,43302586.0
Ned Beatty,Ned Beatty,11082847298.0
Timothée Chalamet,Timothée Chalamet,17468973.0
Karen Gillan,Karen Gillan,6575903781.0
Philip Eytan,Philip Eytan,695840.0
Zane Pais,Zane Pais,1959420.0
Sasha Spielberg,Sasha Spielberg,1851548.0
James Allen McCune,James Allen McCune,20777061.0
Juan Carlos Hernández,Juan Carlos Hernández,263472633.0
Lukas Haas,Lukas Haas,2075743.0
Dave Franco,Dave Franco,6151389893.0
Ann Harada,Ann Harada,18007317.0
Andrea Eversley,Andrea Eversley,16790139.0
Jason Drucker,Jason Drucker,20738724.0
Melvin Van Peebles,Melvin Van Peebles,101270.0
Malin Akerman,Malin Akerman,107616323.0
Michael McKean,Michael McKean,5324125.0
Kim Cattrall,Kim Cattrall,1414317444.0
Ashley Bell,Ashley Bell,41034350.0
Charlie Day,Charlie Day,3113153653.0
Jessica Barth,Jessica Barth,6301174279.0
Brian Boland,Brian Boland,84752907.0
Ruth Marshall,Ruth Marshall,6396998.0
Summer Shelton,Summer Shelton,1876916.0
Ronny Cox,Ronny Cox,45895.0
Michelle Yeoh,Michelle Yeoh,718206248.0
