The 40-Year-Old Virgin,"""The 40-Year-Old Virgin"","
51 Birch Street,"""51 Birch Street"","
The Adventures of Sharkboy and Lavagirl in 3-D,"""The Adventures of Sharkboy and Lavagirl in 3-D"","
Æon Flux,"""Æon Flux"","
Aliens of the Deep,"""Aliens of the Deep"","
Alone in the Dark,"""Alone in the Dark"","
The Amityville Horror,"""The Amityville Horror"","
Are We There Yet?,"""Are We There Yet?"","
The Aristocrats,"""The Aristocrats"","
Assault on Precinct 13,"""Assault on Precinct 13"","
Bad News Bears,"""Bad News Bears"","
The Ballad of Jack and Rose,"""The Ballad of Jack and Rose"","
Batman Begins,"""Batman Begins"","
The Baxter,"""The Baxter"","
Be Cool,"""Be Cool"","
Beauty Shop,"""Beauty Shop"","
Because of Winn-Dixie,"""Because of Winn-Dixie"","
Bee Season,"""Bee Season"","
Bewitched,"""Bewitched"","
Bigger Than the Sky,"""Bigger Than the Sky"","
Boogeyman,"""Boogeyman"","
Brick,"""Brick"","
Brokeback Mountain,"""Brokeback Mountain"","
Broken Flowers,"""Broken Flowers"","
The Brothers Grimm,"""The Brothers Grimm"","
Capote,"""Capote"","
Casanova,"""Casanova"","
The Cave,"""The Cave"","
Charlie and the Chocolate Factory,"""Charlie and the Chocolate Factory"","
Cheaper by the Dozen 2,"""Cheaper by the Dozen 2"","
Chicken Little,"""Chicken Little"","
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","""The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"","
The Chumscrubber,"""The Chumscrubber"","
Cinderella Man,"""Cinderella Man"","
Coach Carter,"""Coach Carter"","
Constantine,"""Constantine"","
Corpse Bride,"""Corpse Bride"","
The Crow: Wicked Prayer,"""The Crow: Wicked Prayer"","
Cruel World,"""Cruel World"","
Cry_Wolf,"""Cry_Wolf"","
Cursed,"""Cursed"","
Daltry Calhoun,"""Daltry Calhoun"","
Dark Water,"""Dark Water"","
Deepwater,"""Deepwater"","
Derailed,"""Derailed"","
The Derby Stallion,"""The Derby Stallion"","
Deuce Bigalow: European Gigolo,"""Deuce Bigalow: European Gigolo"","
The Devil's Rejects,"""The Devil's Rejects"","
Diary of a Mad Black Woman,"""Diary of a Mad Black Woman"","
Dirty Love,"""Dirty Love"","
Dominion: Prequel to the Exorcist,"""Dominion: Prequel to the Exorcist"","
Domino,"""Domino"","
Don't Come Knocking,"""Don't Come Knocking"","
Doom,"""Doom"","
Dreamer,"""Dreamer"","
Duck,"""Duck"","
The Dukes of Hazzard,"""The Dukes of Hazzard"","
Duma,"""Duma"","
The Dying Gaul,"""The Dying Gaul"","
Elektra,"""Elektra"","
Elizabethtown,"""Elizabethtown"","
Enron: The Smartest Guys in the Room,"""Enron: The Smartest Guys in the Room"","
Everything Is Illuminated,"""Everything Is Illuminated"","
The Exorcism of Emily Rose,"""The Exorcism of Emily Rose"","
The Family Stone,"""The Family Stone"","
Fantastic Four,"""Fantastic Four"","
Favela Rising,"""Favela Rising"","
Fever Pitch,"""Fever Pitch"","
First Descent,"""First Descent"","
Flightplan,"""Flightplan"","
The Fog,"""The Fog"","
Forty Shades of Blue,"""Forty Shades of Blue"","
Four Brothers,"""Four Brothers"","
