Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
Paranoid Girls (2015),1 hrs. 29 min.,N/A,$78 ,Comedy,Unknown,Unrated,13-Nov-15,
"Pretty Village, Pretty Flame (1998)",2 hrs. 5 min.,N/A,$211 ,Unknown,Wellspring,Unrated,16-Jan-98,
Playback (2012),1 hrs. 35 min.,N/A,$264 ,Horror Thriller,Magnolia,R,16-Mar-12,
Hannah: Buddhism's Untold Journey (2016),1 hrs. 30 min.,N/A,$396 ,Documentary,Kino Lorber,Unrated,14-Oct-16,
2:22 (2017),1 hrs. 39 min.,N/A,$422 ,Thriller,Magnolia,PG-13,30-Jun-17,
Falling (2007),1 hrs. 28 min.,N/A,$509 ,Foreign,Kino,Unrated,29-Jun-07,
A Bloody Aria (2008),1 hrs. 55 min.,N/A,$518 ,Foreign / Horror,ImaginAsian Pictures,Unrated,4-Jan-08,
Notes on Marie Menken (2007),1 hrs. 37 min.,N/A,$577 ,Documentary,Icarus Films,Unrated,9-Feb-07,
Shake Hands with the Devil (2010),1 hrs. 52 min.,N/A,$594 ,Historical Drama,Regent Releasing,R,29-Oct-10,
"Jesus, You Know (2004)",1 hrs. 27 min.,N/A,$604 ,Documentary,Leisure Time,Unrated,3-Dec-04,
Citizen Gangster (2012),1 hrs. 45 min.,N/A,$625 ,Crime Drama,IFC,Unrated,27-Apr-12,
Down By Love (2016),1 hrs. 40 min.,N/A,$675 ,Drama,Distrib Films,Not Yet Rated,19-Aug-16,
Christmas in Wonderland (2008),1 hrs. 40 min.,N/A,$689 ,Family Comedy,Yari Film Group,PG,25-Jan-08,
Into the White (2013),1 hrs. 40 min.,N/A,$704 ,War Drama,Magnolia,R,12-Apr-13,
Amityville: The Awakening (2017),1 hrs. 25 min.,N/A,$742 ,Horror,Weinstein / Dimension,PG-13,28-Oct-17,
Flakes (2007),1 hrs. 24 min.,N/A,$778 ,Comedy,IFC,Unrated,19-Dec-07,
Port Djema (1999),1 hrs. 35 min.,N/A,$783 ,Unknown,Shadow Dist.,Unrated,1-Jan-99,
Jackpot (2014),1 hrs. 30 min.,N/A,$806 ,Foreign,Doppelganger Releasing,Unrated,27-Jun-14,
Disfigured (2008),1 hrs. 36 min.,N/A,$829 ,Drama,Cinema Libre Studio,Unrated,18-Jul-08,
'R Xmas (2002),1 hrs. 23 min.,N/A,$850 ,Unknown,Pathfinder,R,8-Nov-02,
