Runtime,Production Budget,Domestic Total Gross,title,Genre,Distributor,MPAA Rating,Release Date
1 hrs. 56 min.,$26 million,"$109,449,237 ",The 40-Year-Old Virgin ,Comedy,Universal,R,19-Aug-05
1 hrs. 30 min.,N/A,"$84,689 ",51 Birch Street ,Documentary,Truly Indie,Unrated,18-Oct-06
1 hrs. 36 min.,$20 million,"$5,178,569 ",Alone in the Dark ,Horror,Lions Gate,R,28-Jan-05
1 hrs. 59 min.,N/A,"$86,432,000 ",The Amityville Horror ,Horror,American International Pictures,R,27-Jul-79
1 hrs. 34 min.,$32 million,"$82,674,398 ",Are We There Yet? ,Family Comedy,Sony (Revolution),PG,21-Jan-05
1 hrs. 29 min.,N/A,"$6,377,461 ",The Aristocrats ,Documentary,ThinkFilm,Unrated,29-Jul-05
1 hrs. 49 min.,$30 million,"$20,040,895 ",Assault on Precinct 13 ,Action Thriller,Rogue Pictures,R,19-Jan-05
1 hrs. 51 min.,$35 million,"$32,868,349 ",Bad News Bears ,Sports Comedy,Paramount,PG-13,22-Jul-05
2 hrs. 0 min.,N/A,"$712,275 ",The Ballad of Jack and Rose ,Drama,IFC,R,25-Mar-05
2 hrs. 20 min.,$150 million,"$205,343,774 ",Batman Begins ,Action / Adventure,Warner Bros.,PG-13,15-Jun-05
1 hrs. 31 min.,N/A,"$181,872 ",The Baxter ,Romantic Comedy,IFC,PG-13,26-Aug-05
1 hrs. 44 min.,$53 million,"$56,046,979 ",Be Cool ,Crime Comedy,MGM,PG-13,4-Mar-05
1 hrs. 45 min.,N/A,"$36,351,350 ",Beauty Shop ,Comedy,MGM,PG-13,30-Mar-05
1 hrs. 46 min.,$14 million,"$32,647,042 ",Because of Winn-Dixie ,Family,Fox,PG,18-Feb-05
1 hrs. 45 min.,$14 million,"$1,180,560 ",Bee Season ,Drama,Fox Searchlight,PG-13,11-Nov-05
1 hrs. 30 min.,$85 million,"$63,313,159 ",Bewitched ,Romantic Comedy,Sony / Columbia,PG-13,24-Jun-05
1 hrs. 46 min.,"$750,000 ","$21,398 ",Bigger Than the Sky ,Comedy,MGM,PG-13,18-Feb-05
1 hrs. 26 min.,$20 million,"$46,752,382 ",Boogeyman ,Horror,Sony / Screen Gems,PG-13,4-Feb-05
1 hrs. 50 min.,N/A,"$2,075,743 ",Brick ,Drama / Thriller,Focus Features,R,31-Mar-06
2 hrs. 15 min.,$14 million,"$83,043,761 ",Brokeback Mountain ,Western,Focus Features,R,9-Dec-05
1 hrs. 46 min.,N/A,"$13,744,960 ",Broken Flowers ,Comedy,Focus Features,R,5-Aug-05
2 hrs. 0 min.,$88 million,"$37,916,267 ",The Brothers Grimm ,Adventure Comedy,Dimension Films,PG-13,26-Aug-05
1 hrs. 54 min.,$7 million,"$28,750,530 ",Capote ,Drama,Sony Classics,R,30-Sep-05
1 hrs. 52 min.,N/A,"$11,304,403 ",Casanova ,Period Comedy,Buena Vista,R,25-Dec-05
1 hrs. 37 min.,N/A,"$15,007,991 ",The Cave ,Horror,Sony / Screen Gems,PG-13,26-Aug-05
1 hrs. 46 min.,$150 million,"$206,459,076 ",Charlie and the Chocolate Factory ,Family Adventure,Warner Bros.,PG,15-Jul-05
1 hrs. 40 min.,N/A,"$82,571,173 ",Cheaper by the Dozen 2 ,Family Comedy,Fox,PG,21-Dec-05
1 hrs. 21 min.,$150 million,"$135,386,665 ",Chicken Little ,Animation,Buena Vista,G,4-Nov-05
2 hrs. 12 min.,$180 million,"$291,710,957 ","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Fantasy,Buena Vista,PG,9-Dec-05
1 hrs. 48 min.,N/A,"$52,597 ",The Chumscrubber ,Comedy / Drama,Newmarket,R,5-Aug-05
2 hrs. 24 min.,$88 million,"$61,649,911 ",Cinderella Man ,Sports Drama,Universal,PG-13,3-Jun-05
2 hrs. 14 min.,$30 million,"$67,264,877 ",Coach Carter ,Sports Drama,Paramount,PG-13,14-Jan-05
2 hrs. 1 min.,$100 million,"$75,976,178 ",Constantine ,Horror,Warner Bros.,R,18-Feb-05
1 hrs. 32 min.,N/A,"$17,986 ",Cruel World ,Horror,Indican,R,27-Oct-06
1 hrs. 36 min.,$38 million,"$19,297,522 ",Cursed ,Horror,Dimension Films,PG-13,25-Feb-05
1 hrs. 40 min.,N/A,"$12,551 ",Daltry Calhoun ,Comedy,Miramax,PG-13,23-Sep-05
1 hrs. 51 min.,N/A,"$25,473,352 ",Dark Water ,Horror,Buena Vista,PG-13,8-Jul-05
1 hrs. 46 min.,$22 million,"$36,024,076 ",Derailed ,Thriller,Weinstein Company,R,11-Nov-05
1 hrs. 23 min.,$22 million,"$22,400,154 ",Deuce Bigalow: European Gigolo ,Comedy,Sony / Columbia,R,12-Aug-05
1 hrs. 41 min.,$7 million,"$17,044,981 ",The Devil's Rejects ,Horror,Lions Gate,R,22-Jul-05
1 hrs. 35 min.,N/A,"$36,099 ",Dirty Love ,Comedy,First Look,R,23-Sep-05
1 hrs. 57 min.,N/A,"$251,495 ",Dominion: Prequel to the Exorcist ,Horror,Warner Bros.,R,20-May-05
2 hrs. 0 min.,N/A,"$10,169,202 ",Domino ,Action / Crime,New Line,R,14-Oct-05
2 hrs. 2 min.,N/A,"$440,793 ",Don't Come Knocking ,Drama,Sony Classics,R,17-Mar-06
1 hrs. 40 min.,$60 million,"$28,212,337 ",Doom ,Sci-Fi Horror,Universal,R,21-Oct-05
1 hrs. 46 min.,$50 million,"$80,270,227 ",The Dukes of Hazzard ,Action Comedy,Warner Bros.,PG-13,5-Aug-05
1 hrs. 41 min.,$12 million,"$870,067 ",Duma ,Family Adventure,Warner Bros.,PG,22-Apr-05
1 hrs. 45 min.,N/A,"$342,747 ",The Dying Gaul ,Thriller,Holedigger Studios,R,4-Nov-05
1 hrs. 37 min.,$43 million,"$24,409,722 ",Elektra ,Action / Adventure,Fox,PG-13,14-Jan-05
