	title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor	polarity	subjectivity	polarity_confidence	subjectivity_confidence	actorAR	directorAR	languageAR	countryAR	genreAR	ratingAR	productionAR	distributionAR
1000	Gangster Squad	2013	R	17	113	Action; Crime; Drama	Ruben Fleischer	Sean Penn; Holt McCallany; Wade Williams; James Landry Hébert	Its 1949 Los Angeles and gangster Mickey Cohen has moved in with the intention of controlling all criminal activity in the city He has bought local judges and police and no one is willing to cross him or testify against him Everyone except Sergeant John OMara a former World War II soldier whose goal is to settle with his family in a peaceful Los Angeles Police Chief William Parker decides to form a special unit whose mission is to take down Cohen and chooses OMara to lead the unit OMara chooses 4 cops and asks another cop and vet Jerry Wooters to join him but Wooters is not interested But when he witnesses the murder of a young boy by Cohens people he joins them and they decide to take apart Cohens organization Cohen wonders if a rival is going after him but eventually he realizes its the cops	English	USA	5 nominations	6.7	32.0	40	45996718.0	Warner Bros.	11-Jan-13	2013	1	8778.0	4.0	23.0	1.0	60000000	46000903	Warner Bros.	neutral	subjective	0.576183259	1.0	-15261663	30522105	9159624	9575722	13464425	8133748	-2697372	12943408
1001	The Mortal Instruments: City of Bones	2013	PG-13	13	130	Action; Fantasy; Horror	Harald Zwart	Lily Collins; Jamie Campbell Bower; Kevin Zegers; Jemima West	Set in contemporary New York City a seemingly ordinary teenager Clary Fray discovers she is the descendant of a line of Shadowhunters a secret cadre of young half-angel warriors locked in an ancient battle to protect our world from demons After the disappearance of her mother Clary must join forces with a group of Shadow Hunters who introduce her to a dangerous alternate New York called the Shadow World filled with demons warlocks vampires werewolves and other deadly creatures	English	USA; Germany; Canada	6 wins & 11 nominations	5.9	13.0	33	31165421.0	Sony Pictures	21-Aug-13	2013	8	6507433.0	11440.0	29867.0	1042.0	60000000	31165421	Sony / Screen Gems	neutral	subjective	0.610418856	1.0	0	0	9159624	26515417	23008630	9899276	21745046	20762074
1002	Jack Ryan: Shadow Recruit	2014	PG-13	13	105	Action; Drama; Thriller	Kenneth Branagh	Chris Pine; Keira Knightley; Kevin Costner; Kenneth Branagh	This new version of the saga of CIA analyst Jack Ryan begins as Jack attends the London School of Economics 9/11 happens He subsequently enlists in the Marines sustaining severe injuries when the chopper deploying him to Afghanistan is shot down While in intense rehab he grabs the attention of Harper a man who works for the CIA and who would like Jack to finish his studies get a job on Wall Street and seek out terrorist plots through their financial transactions Ten years pass Jack finds anomalies in the accounts of a Russian named Cherevin and thinks he should go to Russia to check out whats going on Hes told not to tell anyone who he is including his girlfriend Cathy which makes her doubt him when she catches him in some lies In Russia Cherevin assigns someone to assist Jack but when the two are alone the man tries to kill Jack instead so Jack kills him Obviously Cherevin is hiding something Jack goes to meet him and says hell bring his fiancée along but when Cathy shows up Jack has to tell her the truth Harper says Cathy has to go with Jack when she meets Cherevin Jack doesnt want her to but Cathy says shes going so the action begins that leads to the climax	English; Russian	USA; Russia	2 nominations	6.2	56.0	57	43003831.0	Paramount Pictures	17-Jan-14	2014	1	150574.0	145.0	382.0	63.0	60000000	50577412	Paramount	neutral	subjective	0.874174356	1.0	-4866478	-27365284	15344220	-7396445	21913317	9899276	22280237	20132369
1003	The Boxtrolls	2014	PG	7	96	Animation; Adventure; Comedy	Graham Annable; Anthony Stacchi	Ben Kingsley; Jared Harris; Nick Frost; Richard Ayoade	THE BOXTROLLS are a community of quirky mischievous creatures who have lovingly raised an orphaned human boy named Eggs in the amazing cavernous home theyve built beneath the streets of a city called Cheesebridge The story is about a young orphaned boy raised by underground cave-dwelling trash collectors who tries to save his friends from an evil exterminator the towns villain Archibald Snatcher When Snatcher comes up with a plot to get rid of the Boxtrolls Eggs decides to venture above ground and into the light where he meets and teams up with fabulously feisty Winnie Together they devise a daring plan to save The BoxTrolls family The film is based upon the childrens novel Here Be Monsters by Alan Snow	English	USA	Nominated for 1 Oscar Another 8 wins & 59 nominations	6.8	75.0	61	52098992.0	Focus Features	26-Sep-14	2014	9	274261.0	169.0	1159.0	42.0	60000000	50837305	Focus Features	positive	subjective	0.857244253	1.0	-12636329	0	9159624	9575722	22293110	12706625	3463844	-395282
1004	Mortdecai	2015	R	17	107	Action; Comedy; Crime	David Koepp	Johnny Depp; Gwyneth Paltrow; Paul Bettany; Ewan McGregor	Juggling some angry Russians the British Mi5 his impossibly leggy wife and an international terrorist debonair art dealer and part time rogue Charlie Mortdecai must traverse the globe armed only with his good looks and special charm in a race to recover a stolen painting rumored to contain the code to a lost bank account filled with Nazi gold	English	UK; USA	1 win & 8 nominations	5.5	12.0	27	6847536.0	Lionsgate Films	23-Jan-15	2015	1	4486055.0	885.0	9363.0	527.0	60000000	7696134	Lionsgate	negative	objective	0.587549627	1.0	-29182980	-14724554	9159624	12012154	18782711	8133748	17163082	10358090
1005	London Has Fallen	2016	R	17	99	Action; Drama; Thriller	Babak Najafi	Alon Aboutboul; Waleed Zuaiter; Adel Bencherif; Mehdi Dehbi	After the British Prime Minister has passed away under mysterious circumstances all leaders of the Western world must attend his funeral But what starts out as the most protected event on earth turns into a deadly plot to kill the worlds most powerful leaders and unleash a terrifying vision of the future The President of the United States his formidable secret service head and a British MI-6 agent who trusts no one are the only people that have any hope of stopping it	English; Italian; French; Japanese	UK; Bulgaria; USA	1 win & 2 nominations	5.9	25.0	28		Focus Features	4-Mar-16	2016	3	1714519.0	1084.0	3003.0	347.0	60000000	62678608	Focus Features	negative	subjective	0.479648441	1.0	0	0	25371079	57480737	21913317	8133748	3463844	-395282
1006	Kubo and the Two Strings	2016	PG	7	101	Animation; Adventure; Family	Travis Knight	Art Parkinson; Charlize Theron; Ralph Fiennes; Brenda Vaccaro	Kubo lives a quiet normal life in a small shoreside village until a spirit from the past turns his life upside down by re-igniting an age-old vendetta This causes all sorts of havoc as gods and monsters chase Kubo who in order to survive must locate a magical suit of armor once worn by his late father a legendary Samurai warrior	English	USA	Nominated for 2 Oscars Another 31 wins & 58 nominations	7.8	97.0	84	48019281.0	Focus Features	19-Aug-16	2016	8	6319206.0	3426.0	28815.0	1522.0	60000000	48023088	Focus Features	negative	objective	0.614134729	1.0	-5875187	0	9159624	9575722	29429955	12706625	3463844	-395282
1007	Sully	2016	PG-13	13	96	Biography; Drama	Clint Eastwood	Tom Hanks; Aaron Eckhart; Valerie Mahaffey; Delphi Harrington	On Thursday January 15th 2009 the world witnessed the Miracle on the Hudson when Captain Chesley Sullenberger nicknamed Sully glided his disabled plane onto the frigid waters of the Hudson River saving the lives of all 155 aboard However even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill an investigation was unfolding that threatened to destroy his reputation and his career	English	USA	Nominated for 1 Oscar Another 12 wins & 33 nominations	7.5	86.0	74	125065700.0	Warner Bros.	9-Sep-16	2016	9	14765703.0	8703.0	54735.0	2057.0	60000000	125070033	Warner Bros.	positive	objective	0.477114826	1.0	20958976	16535902	9159624	9575722	10930973	9899276	-2697372	12943408
1008	Jack Reacher: Never Go Back	2016	PG-13	13	118	Action; Adventure; Crime	Edward Zwick	Tom Cruise; Cobie Smulders; Aldis Hodge; Danika Yarosh	After accomplishing the assignment of dismantling a human trafficking organization the former military and drifter Jack Reacher goes to Washington to invite his liaison Major Susan Turner to have dinner with him However he meets her substitute Colonel Sam Morgan who explains that Major Turner has been arrested and accused of espionage Jack seeks out her veteran lawyer Colonel Bob Moorcroft who explains that Major Turner has also been accused of the murders of two soldiers in Afghanistan Further he also tells Jack he is being sued accused by a woman of being the father of her fifteen year-old daughter Samantha When Moorcroft is murdered Jack is accused of being the killer and sent to a prison He sees that Turner and he have been framed and also that Turner will be killed by two assassins However he rescues her and they flee Soon they realize that there is a conspiracy involving military people from the army and a government contractor that is a powerful arms dealer Jack also learns that Samantha is in danger and Turner and he rescue her They decide to protect her since a skilled assassin is hunting them down while they try to find the motive of the conspiracy Who can be trusted?	English; Ukrainian	China; USA	1 win	6.1	38.0	47	58676235.0	Paramount Pictures	21-Oct-16	2016	10	125561.0	9.0	172.0	7.0	60000000	58697076	Paramount	neutral	subjective	0.762204647	1.0	-19997146	-3355187	16312415	16850658	16722852	9899276	22280237	20132369
1009	Smurfs: The Lost Village	2017	PG	7	90	Animation; Adventure; Comedy	Kelly Asbury	Demi Lovato; Rainn Wilson; Joe Manganiello; Jack McBrayer	In this fully animated all-new take on the Smurfs a mysterious map sets Smurfette and her best friends Brainy Clumsy and Hefty on an exciting and thrilling race through the Forbidden Forest filled with magical creatures to find a mysterious lost village before the evil wizard Gargamel does Embarking on a roller-coaster journey full of action and danger the Smurfs are on a course that leads to the discovery of the biggest secret in Smurf history!	English	USA; Hong Kong	1 nomination	5.9	37.0	40	45011202.0	Sony Pictures	7-Apr-17	2017	4	867614.0	392.0	1808.0	327.0	60000000	45020282	Sony / Columbia	positive	objective	0.933431625	0.999997422	-8030088	0	9159624	20979198	22293110	12706625	21745046	20441134
