imdbRating,rottenTomatoesRating,metacriticRating,boxoffice,production,ReleaseDate,YearReleased,MonthReleased,viewCount,commentCount,likeCount,dislikeCount,Production.Budget,Domestic.Total.Gross,polarity,subjectivity,polarity_confidence,subjectivity_confidence,actorAR,directorAR,languageAR,countryAR,genreAR,ratingAR,productionAR,distributionAR,Domestic.Total.Gross_ln,Domestic.Total.Gross_sqrt,dislikeCount_rc,like_ratio
6.1,53,66,1929081,Paramount Vantage,16-Nov-07,2007,11,379522,90,349,23,10000,1959420,neutral,subjective,0.724775136,1,-3691566,-2968462,9159624,9575722,17156946,8133748,-1097270,-3611204,14.48815907,1399.792842,23,15.17391304
6.1,58,41,NA,NA,7-Oct-05,2005,10,1413,0,6,0,35000,47219,neutral,subjective,0.720310986,1,48876,620020,9159624,9575722,11237616,8133748,2061285,-18918890,10.76255163,217.2993327,1,6
5.6,81,69,21964,Strand Releasing,4-Oct-13,2013,10,71656,5,81,7,42394,22214,neutral,subjective,0.696302354,1,-80720,-20180,9159624,9575722,20010532,-3152472,-19838716,-4406078,10.008478,149.0436178,7,11.57142857
6.7,86,81,415067,Independent Pictures/Metrodome Dist.,5-Apr-13,2013,4,4160,3,82,0,50000,444098,negative,subjective,0.49451074,1,1576392,394098,9159624,9575722,13022579,-3152472,394098,394098,13.00380054,666.4067827,1,82
5.5,75,70,28853,Magnolia Pictures,25-Jul-14,2014,7,25687,31,399,9,70000,30312,positive,subjective,0.977391243,1,24955851,-98173,9159624,9575722,17156946,8133748,-3184813,-4333005,10.31929895,174.1034175,9,44.33333333
6.9,91,84,1594798,Ideaman Studios,7-Jul-17,2017,7,2913961,1439,15290,1083,100000,1596371,positive,objective,0.797941327,1,4738867,1496371,9159624,9575722,16307194,8133748,1496371,5080916,14.28324349,1263.475762,1083,14.11819021
7.1,80,66,511635,Radius-TWC,22-Aug-14,2014,8,1705320,298,1910,198,100000,513447,negative,objective,0.673358738,0.999426623,10871620,413447,9159624,9575722,16307194,8133748,540457,-5552633,13.14890209,716.5521614,198,9.646464646
6.6,75,67,3.00E+05,20th Century Fox,27-Apr-12,2012,4,78037,11,145,9,135000,408015,negative,subjective,0.599716246,1,-12141,273015,9159624,9575722,26115993,8133748,12579404,9722257,12.91905922,638.7605185,9,16.11111111
7,64,66,957752,Fox Searchlight Pictures,22-Jul-11,2011,7,3179154,1395,5759,407,175000,1321194,neutral,subjective,0.663728237,1,-4828942,241333,9159624,9575722,23792042,9899276,8804638,9722257,14.09404643,1149.432034,407,14.14987715
5.9,73,62,3847290,BH Tilt,28-Apr-17,2017,4,2452283,276,1638,184,250000,3986245,neutral,subjective,0.549256921,1,14944980,3736245,9159624,9575722,18145368,8133748,4451532,3698452,15.19836024,1996.558289,184,8.902173913
3.9,22,36,31317,IFC Films,2-Aug-13,2013,8,1057434,141,499,120,250000,56825,neutral,subjective,0.592984796,1,-6421229,-14970840,9159624,9575722,16790528,8133748,-1947483,-4593538,10.94773165,238.3799488,120,4.158333333
6.4,89,68,318622,Magnolia Pictures,17-Aug-12,2012,8,194743,71,312,23,270000,319285,negative,subjective,0.995445371,1,197140,49285,9159624,9575722,13353279,8133748,-3184813,-4333005,12.6738394,565.0530949,23,13.56521739
7.8,98,87,1328551,ThinkFilm,8-Jul-05,2005,7,52637,8,52,1,350000,1531154,neutral,subjective,0.83586973,1,4724616,2362308,9159624,9575722,18652812,8133748,-2396764,-7914859,14.24153226,1237.398077,1,52
7.1,96,77,NA,Radius-TWC,25-Apr-14,2014,4,57838,4,42,5,420000,258384,negative,subjective,0.538627386,1,-646464,-970622,9159624,14393267,19212834,8133748,540457,-5552633,12.46220213,508.3148631,5,8.4
7.4,79,72,1973180,Focus Features,31-Mar-06,2006,3,335137,214,1181,34,450000,2075743,negative,subjective,0.824742854,1,5015649,7214568,9159624,9575722,13464425,8133748,3463844,-395282,14.54582972,1440.743905,34,34.73529412
6.6,40,28,33451479,Sherwood Pictures,26-Sep-08,2008,9,32852,NA,49,4,500000,33456317,neutral,subjective,0.805821657,1,131608220,32739269,9159624,9575722,16688793,12706625,32956317,-113299,17.32575118,5784.143584,4,12.25
6.1,83,71,2.00E+05,Magnolia Pictures,23-Aug-13,2013,8,5061231,777,7607,588,500000,343341,negative,subjective,0.465413541,1,92346323,-98173,9159624,9575722,27926409,8133748,-3184813,-4333005,12.7464794,585.9530698,588,12.93707483
6.6,60,54,NA,IFC Films,24-Mar-06,2006,3,53227,27,83,2,500000,154187,neutral,subjective,0.442456186,1,1272580,-345813,9159624,9575722,17156946,8133748,-1947483,-4593538,11.94592143,392.6665252,2,41.5
7.5,84,71,7899271,Paramount Classics,13-May-05,2005,5,122687,52,127,6,500000,8117961,neutral,subjective,0.753967047,1,30471844,7617961,15035100,9575722,38837615,12706625,2832026,-2903378,15.90958957,2849.203573,6,21.16666667
5.6,37,34,32050,Roadside Attractions,17-Apr-15,2015,4,32498,NA,NA,NA,500000,45895,neutral,objective,0.681665719,1,1098410,-454105,9159624,9575722,10871198,8133748,-6218107,-5768780,10.73411146,214.2311835,NA,NA
6.8,85,71,375981,Sony Pictures Classics,12-Oct-12,2012,10,121171,113,496,23,500000,376597,positive,subjective,0.40919584,1,30579431,-4442746,9159624,9575722,5919330,8133748,-1688477,-1096370,12.83893093,613.6749954,23,21.56521739
7,92,84,1.00E+05,Alluvial Film Company,1-Oct-08,2008,10,99962,50,80,15,700000,77556,negative,subjective,0.772499084,1,-2489776,-622444,9159624,9575722,5919330,-3152472,-622444,-622444,11.25875554,278.4887789,15,5.333333333
7.7,97,82,3886956,Magnolia Pictures,22-Apr-05,2005,4,228503,12,285,8,700000,4071700,negative,subjective,0.700400531,1,17251291,286485,9159624,9575722,6371952,-3152472,-3184813,-4333005,15.21957116,2017.845386,8,35.625
6.4,82,73,204951,Magnolia Pictures,9-Aug-13,2013,8,271375,156,817,77,725000,205139,neutral,subjective,0.437778205,1,46033691,9239822,13196632,9575722,17156946,8133748,-3184813,-4333005,12.23144308,452.9227307,77,10.61038961
6.9,48,54,5431812,First Look Pictures,13-Apr-07,2007,4,22851,16,133,5,750000,5520368,negative,subjective,0.78736639,1,19081472,9540736,9159624,9575722,16178283,8133748,-2324385,-4537557,15.52395508,2349.546339,5,26.6
7,90,72,4007792,FilmDistrict,8-Jun-12,2012,6,2484659,864,8124,325,750000,4010957,neutral,subjective,0.763362825,1,15920875,-1117034,9159624,9575722,27926409,8133748,-9725060,-14158085,15.20454042,2002.737377,325,24.99692308
7.5,94,85,11010136,The Weinstein Company,12-Jul-13,2013,7,455935,237,1485,47,900000,16101339,neutral,subjective,0.516067266,1,74430334,15201339,15035100,9575722,21700436,8133748,4896905,4433571,16.59441299,4012.64738,47,31.59574468
5.7,11,26,NA,Hidden Empire Film Group,1-Apr-16,2016,4,173783,22,120,15,900000,9097072,neutral,subjective,0.499972582,1,26980191,8197072,9159624,9575722,29505056,8133748,8197072,-10093975,16.02346316,3016.135275,15,8
6.4,33,43,NA,Magnolia Pictures,5-Apr-13,2013,4,3909691,605,7566,610,900000,6997,neutral,subjective,0.355595827,1,-1178728,-893003,9159624,9575722,21727215,8133748,-3184813,-4333005,8.853236765,83.6480723,610,12.40327869
6.3,64,58,248849,CBS Films,2-Jun-17,2017,6,66126,26,195,36,950000,254536,positive,objective,0.814220309,0.999999986,-2781856,-695464,9159624,9575722,27926409,9899276,11551473,11551473,12.44719756,504.5156093,36,5.416666667
5.3,25,41,3.20E+07,Warner Bros. Pictures,6-May-05,2005,5,1905174,790,2201,170,1000000,23750000,neutral,subjective,0.551484227,1,55175432,20220107,9159624,24080271,42232052,8133748,18199373,12943408,16.98309309,4873.397172,170,12.94705882
7.4,87,81,9.60E+06,The Weinstein Company,29-Dec-10,2010,12,5077496,1308,10283,356,1000000,9706328,neutral,subjective,0.524347126,1,11985079,2551942,9159624,9575722,16688793,8133748,4896905,4433571,16.0882886,3115.498034,356,28.88483146
4.2,6,18,53245055,Paramount Pictures,6-Jan-12,2012,1,55819,14,72,5,1000000,53261944,negative,subjective,0.669495106,1,209047776,27674212,13769248,22014055,18267440,8133748,22280237,20132369,17.79073264,7298.078103,5,14.4
6.9,75,54,9837,IFC Films,17-Oct-14,2014,10,7194600,5691,24375,3488,1000000,13302,neutral,subjective,0.76587534,1,18410870,-986698,9159624,9575722,3308115,8133748,-1947483,-4593538,9.495669679,115.3342967,3488,6.988245413
5.6,63,59,31354666,Universal Pictures,17-Apr-15,2015,4,316051,130,674,37,1000000,32482090,neutral,subjective,0.613465726,1,125928360,31482090,9159624,9575722,37280184,8133748,20852222,24540500,17.29619942,5699.306098,37,18.21621622
6.1,80,68,3456144,Paramount Pictures,28-Jul-17,2017,7,2776216,4087,15777,2084,1000000,3496795,negative,subjective,0.892273545,0.999977777,14626576,4993590,22174316,9575722,6371952,12706625,22280237,20132369,15.06735739,1869.971925,2084,7.570537428
7.8,95,80,4238694,Magnolia Pictures,12-Jun-09,2009,6,145715,96,309,22,1000000,4417674,positive,subjective,0.405440986,1,13670696,3417674,9159624,9575722,6371952,12706625,-3184813,-4333005,15.30112387,2101.826349,22,14.04545455
7.2,88,82,2061019,Sony Pictures Classics,1-Aug-08,2008,8,58543,2,37,18,1000000,2511476,neutral,objective,0.90198195,1,10078373,1511476,13527475,9575722,8341636,8133748,-1688477,-1096370,14.73638119,1584.763705,18,2.055555556
7.4,52,57,NA,Fox Searchlight Pictures,18-Jul-14,2014,7,3010425,1301,7678,645,1000000,336472,neutral,subjective,0.631168067,1,-2477981,241333,8270300,9575722,23792042,8133748,8804638,9722257,12.72627022,580.0620656,645,11.90387597
6.9,90,75,2981038,Fox Searchlight Pictures,21-Oct-11,2011,10,1229303,346,2136,89,1000000,2990625,negative,subjective,0.487515092,1,79302,1990625,9159624,9575722,29883942,8133748,8804638,9722257,14.91099295,1729.342361,89,24
6.8,90,76,NA,A24 Films,6-Jun-14,2014,6,16458,14,21,11,1000000,3123963,positive,subjective,0.477365583,1,8495852,2123963,9159624,9575722,27926409,8133748,5439370,5080916,14.95461295,1767.473621,11,1.909090909
6.5,81,67,794817,Fox Searchlight Pictures,18-Aug-17,2017,8,5647933,634,2563,450,1000000,800148,positive,objective,0.488895446,1,-799408,-199852,9159624,9575722,20010532,8133748,8804638,9722257,13.59255199,894.5099217,450,5.695555556
6.7,88,74,231703,Drafthouse Films,8-Apr-16,2016,4,361284,75,303,38,1000000,231737,negative,subjective,0.577254891,1,20243154,-768263,9159624,9575722,29883942,-3152472,-768263,-768263,12.35335839,481.3906937,38,7.973684211
6.8,45,48,48289,Magnolia Pictures,1-Jul-11,2011,7,589508,380,1106,114,1000000,48764,negative,subjective,0.680242002,1,-3804944,-951236,9159624,9575722,24531120,8133748,-3184813,-4333005,10.79474761,220.8257231,114,9.701754386
7.2,93,79,5997134,Fox Searchlight Pictures,19-Oct-12,2012,10,1346064,365,1750,102,1000000,6002451,negative,subjective,0.779340386,1,48414660,5002451,9159624,9575722,22168589,8133748,8804638,9722257,15.60767844,2449.99,102,17.15686275
6.8,87,74,NA,Roadside Attractions,12-Sep-14,2014,9,2351126,534,5207,841,1000000,5284309,negative,subjective,0.618416905,1,48002217,-130870,9159624,9575722,27926409,8133748,-6218107,-5768780,15.48025242,2298.762493,841,6.191438763
