X,title,year,rated,min_age,runtime.min.,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metacriticRating,boxoffice,production,ReleaseDate,YearReleased,MonthReleased,viewCount,commentCount,likeCount,dislikeCount,Production.Budget,Domestic.Total.Gross,Distributor,polarity,subjectivity,polarity_confidence,subjectivity_confidence,actorAR,directorAR,languageAR,countryAR,genreAR,ratingAR,productionAR,distributionAR,Domestic.Total.Gross_ln,Domestic.Total.Gross_sqrt,likeCount_ln,dislikeCount_ln,dislikeCount_rc,like_ratio
0,Margot at the Wedding,2007,R,17,91,Comedy; Drama,Noah Baumbach,Zane Pais; Susan Blackwell; Nicole Kidman; Jack Black,A slice of family life: sisters husbands children history secrets jealousies Margot and her teen son Claude travel from Manhattan to her familys Long Island home occupied by sister Pauline Paulines daughter and Malcolm the slacker Pauline will marry outdoors that week under a tree neighbors want removed Backbiting marks family discussion particularly between the sisters and in Margots cutting remarks to Claude Pauline tells Margot a secret that Margot promptly tells Claude Margot dislikes Malcolm and undermines him She also has marital problems and a lover nearby People are cruel inside and outside their families Is there a refuge for Margot or for Pauline?,English,USA,3 wins & 13 nominations,6.1,53,66,1929081,Paramount Vantage,16-Nov-07,2007,11,379522,90,349,23,10000,1959420,Paramount Vantage,neutral,subjective,0.724775136,1,-3691566,-2968462,9159624,9575722,17156946,8133748,-1097270,-3611204,14.488159069046873,1399.7928418162453,5.855071922202427,3.1354942159291497,23,15.173913043478262
1,Never Been Thawed,2005,R,17,87,Comedy,Sean Anders,Greg Behrendt; Kent Voss; Sean Anders; Mike Gordon,Shawn is the founder of the Mesa Frozen Entree Enthusiasts Club He has inspired this group of fanatical collectors to attempt to host the worlds first Frozen Entree Enthusiasts Convention Shawn also sings for a local punk band that has recently converted to Christian Rock as they find the Christian fans much easier to shock and impress Milo Binder a local Christian rock promoter and owner of an anti-abortion themed Christian cafe assisted the bands conversion As Shawn pursues the convention and Christian fame Al (the bass player) pursues Shelly Shelly is a mousy virgin whos infatuation with Shawn may be more than AL can overcome NBT is a dark edgy warts-and-all comedy that leaves nothing sacred,English,USA,NA,6.1,58,41,NA,NA,7-Oct-05,2005,10,1413,0,6,0,35000,47219,Indican,neutral,subjective,0.720310986,1,48876,620020,9159624,9575722,11237616,8133748,2061285,-18918890,10.762551632948083,217.29933271871775,1.791759469228055,-Inf,1,6
2,I Used to Be Darker,2013,NOT RATED,17,89,Drama; Music,Matthew Porterfield,Deragh Campbell; Hannah Gross; Ned Oldham; Kim Taylor,When Taryn a Northern Irish runaway finds herself in trouble in Ocean City MD she seeks refuge with her aunt and uncle in Baltimore But Kim and Bill have problems of their own: theyre trying to handle the end of their marriage gracefully for the sake of their daughter Abby just home from her first year of college A story of family revelations people finding each other and letting each other go looking for love where theyve found it before and when that doesnt work figuring out where they might find it next,English,USA,1 win & 3 nominations,5.6,81,69,21964,Strand Releasing,4-Oct-13,2013,10,71656,5,81,7,42394,22214,Strand,neutral,subjective,0.696302354,1,-80720,-20180,9159624,9575722,20010532,-3152472,-19838716,-4406078,10.008477999727065,149.04361777681055,4.394449154672439,1.9459101490553132,7,11.571428571428571
3,Upstream Color,2013,NOT RATED,17,96,Drama; Sci-Fi,Shane Carruth,Amy Seimetz; Shane Carruth; Andrew Sensenig; Thiago Martins,Kris is attacked one night and hypnotized using a grub with hypnotic properties administered by a thief She follows the thiefs instructions to give him everything even taking out loans After the worms are extracted she wakes up to find her life ruined Shes lost her job her finances are destroyed Years later she meets Jeff whom she may have a lot in common with,English,USA,5 wins & 34 nominations,6.7,86,81,415067,Independent Pictures/Metrodome Dist.,5-Apr-13,2013,4,4160,3,82,0,50000,444098,erbp Film,negative,subjective,0.49451074,1,1576392,394098,9159624,9575722,13022579,-3152472,394098,394098,13.003800537779847,666.4067826785679,4.406719247264253,-Inf,1,82
4,Happy Christmas,2014,R,17,82,Comedy; Drama,Joe Swanberg,Anna Kendrick; Melanie Lynskey; Mark Webber; Lena Dunham,Irresponsible 20-something Jenny arrives in Chicago to live with her older brother Jeff a young film-maker living a happy existence with his novelist wife Kelly and their two-year-old son Jennys arrival shakes up their quiet domesticity as she and her friend Carson instigate an evolution in Kellys life and career Meanwhile Jenny strikes up a rocky relationship with the familys baby sitter-cum-pot dealer,English,USA,5 nominations,5.5,75,70,28853,Magnolia Pictures,25-Jul-14,2014,7,25687,31,399,9,70000,30312,Magnolia,positive,subjective,0.977391243,1,24955851,-98173,9159624,9575722,17156946,8133748,-3184813,-4333005,10.319298952698437,174.1034175425629,5.988961416889864,2.1972245773362196,9,44.333333333333336
5,A Ghost Story,2017,R,17,92,Drama; Fantasy; Romance,David Lowery,Casey Affleck; Rooney Mara; McColm Cephas Jr.; Kenneisha Thompson,In this singular exploration of legacy love loss and the enormity of existence a recently deceased white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife,English,USA,11 wins & 17 nominations,6.9,91,84,1594798,Ideaman Studios,7-Jul-17,2017,7,2913961,1439,15290,1083,100000,1596371,A24,positive,objective,0.797941327,1,4738867,1496371,9159624,9575722,16307194,8133748,1496371,5080916,14.283243486118499,1263.475761540363,9.634954298923107,6.9874902470009905,1083,14.118190212373039
6,The One I Love,2014,R,17,91,Drama; Fantasy; Romance,Charlie McDowell,Mark Duplass; Elisabeth Moss; Ted Danson; Kiana Cason,A troubled couple vacate to a beautiful getaway but bizarre circumstances further complicate their situation,English,USA,2 wins & 2 nominations,7.1,80,66,511635,Radius-TWC,22-Aug-14,2014,8,1705320,298,1910,198,100000,513447,Radius-TWC,negative,objective,0.673358738,0.999426623,10871620,413447,9159624,9575722,16307194,8133748,540457,-5552633,13.148902089781442,716.5521613951074,7.554858521040676,5.288267030694535,198,9.646464646464647
7,Sound of My Voice,2011,R,17,85,Drama; Mystery; Sci-Fi,Zal Batmanglij,Christopher Denham; Nicole Vicius; Brit Marling; Davenia McFadden,Two documentary filmmakers are determined to expose the truth about Maggie the mysterious leader of a secretive cult who claims to belong to the year 2054 Although they believe that everything is nothing more than a fraud the filmmakers end up driven by her charisma,English,USA,1 win & 7 nominations,6.6,75,67,3e5,20th Century Fox,27-Apr-12,2012,4,78037,11,145,9,135000,408015,Fox Searchlight,negative,subjective,0.599716246,1,-12141,273015,9159624,9575722,26115993,8133748,12579404,9722257,12.919059217416375,638.7605185043922,4.976733742420574,2.1972245773362196,9,16.11111111111111
8,Another Earth,2011,PG-13,13,92,Drama; Romance; Sci-Fi,Mike Cahill,William Mapother; Brit Marling; Matthew-Lee Erlbach; DJ Flava,SPOILER: Seventeen year-old Rhoda Williams receives an acceptance letter from MIT and she celebrates with her friends On the same night a planet similar and close to Earth is discovered and called Earth 2 Rhoda drives her car looking at Earth 2 and crashes with composer John Burroughs killing his pregnant wife and his baby son Rhoda goes to prison and four years later she is released and moves to her parents house She finds a job as high-school janitor but tries to commit suicide She survives however and submits an essay to a contest where the prize is a ticket to travel to Earth 2 Meanwhile the scientists discover that Earth 2 is a mirror of Earth and the synchronicity between the dwellers was interrupted when the planets were seen by each other One day Rhoda decides to visit John Burroughs whose life was destroyed after the death of his family to admit to him that she had killed his family However she does not have the nerve to tell him the truth So she lies and tells him he has won a free cleaning service of his home Rhoda wins the writing contest but meanwhile John and she have fallen in love with each other Rhoda has to take a decision whether she goes or stays but she wants to tell John the truth first,English,USA,7 wins & 13 nominations,7,64,66,957752,Fox Searchlight Pictures,22-Jul-11,2011,7,3179154,1395,5759,407,175000,1321194,Fox Searchlight,neutral,subjective,0.663728237,1,-4828942,241333,9159624,9575722,23792042,9899276,8804638,9722257,14.094046431162393,1149.432033658363,8.658519127506672,6.008813185442595,407,14.14987714987715
9,Sleight,2016,R,17,89,Action; Drama; Sci-Fi,J.D. Dillard,Jacob Latimore; Seychelle Gabriel; Storm Reid; Donzaleigh Abernathy,A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing and turns to illegal activities to keep a roof over their heads When he gets in too deep his sister is kidnapped and he is forced to use his magic and brilliant mind to save her,English,USA,3 nominations,5.9,73,62,3847290,BH Tilt,28-Apr-17,2017,4,2452283,276,1638,184,250000,3986245,BH Tilt,neutral,subjective,0.549256921,1,14944980,3736245,9159624,9575722,18145368,8133748,4451532,3698452,15.198360242993921,1996.5582886557556,7.401231264413015,5.214935757608986,184,8.902173913043478
