Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua & Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Republic of the Congo,Democratic Republic of the Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d’Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea Bissau,Guinea-Bissau,Guyana,Haiti,Heard & McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,Réunion,Samoa,San Marino,Saudi Arabia,Senegal,Republic of Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia & South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,St. Barthélemy,St. Helena,St. Kitts & Nevis,St. Lucia,St. Martin,St. Pierre & Miquelon,St. Vincent & Grenadines,Sudan,Suriname,Svalbard & Jan Mayen,Swaziland,Sweden,Switzerland,Syria,São Tomé & Príncipe,Taiwan,Tajikistan,United Republic of Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Turks & Caicos Islands,Tuvalu,U.S. Outlying Islands,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,England,USA,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis & Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands,Somalila
Swing Vote,0,0,17,0,0,0,0,0,0,15,0,0,37,27,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,66,0,0,0,0,0,17,10,0,0,7,0,0,0,0,0,38,0,0,0,20,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,55,15,0,0,0,0,0,0,23,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,7,0,0,0,29,0,25,17,0,3,0,0,0,64,0,0,52,0,0,0,0,0,0,0,0,69,0,0,0,0,0,17,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,14,0,0,0,0,0,27,0,58,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,29,0,24,32,0,0,43,0,0,0,0,0,11,0,24,0,0,32,0,0,28,0,0,31,0,41,0,9,0,0,0,0,0,0,0,0,0,0,0,0,42,22,0,0,8,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,31,27,100,0,0,0,0,9,0,0,0,0,0,0,0,0
Taken,0,0,14,0,0,0,0,0,0,6,0,0,49,8,0,0,0,26,0,0,23,0,0,0,0,20,0,0,0,3,0,0,0,10,0,0,0,0,36,0,0,0,0,0,8,4,0,0,4,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,13,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,8,84,0,15,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,63,13,10,0,48,0,16,8,100,2,0,0,0,76,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,15,0,0,0,0,65,36,0,42,0,0,67,0,0,0,0,22,0,78,0,0,0,0,0,0,58,0,6,12,0,0,19,3,0,0,0,0,16,0,16,0,0,54,0,0,0,0,0,60,0,10,0,4,32,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,6,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,44,50,49,0,0,0,0,0,6,0,0,0,0,0,0,0
The Tale of Despereaux,0,0,18,0,0,0,0,0,0,12,0,0,70,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6,0,0,0,21,0,0,0,0,81,0,0,0,0,0,15,10,0,0,10,0,0,0,0,0,34,0,0,0,0,0,29,0,0,0,0,46,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,8,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,62,27,0,17,15,0,0,31,0,14,5,0,2,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,0,0,0,29,0,82,0,0,0,0,0,0,0,29,0,48,0,0,0,0,0,0,47,0,9,47,66,0,79,0,0,0,0,0,28,0,18,0,0,56,0,19,36,0,0,28,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,11,0,0,24,0,0,26,0,0,0,0,0,0,10,0,0,0,0,0,0,0,55,26,100,0,0,0,0,0,13,0,0,0,0,0,0,0
Traitor,0,0,0,0,0,0,0,0,0,10,0,0,58,19,0,0,0,23,0,0,21,0,0,0,0,0,0,0,0,6,0,0,0,16,0,0,0,0,61,0,0,0,0,0,14,5,0,0,6,0,0,0,0,0,29,0,0,0,22,0,30,0,0,0,0,11,0,0,0,0,0,0,0,0,30,9,0,0,0,0,0,0,20,61,0,25,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0,33,15,7,0,53,0,18,10,0,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,0,0,0,0,0,27,0,61,0,0,32,0,0,0,0,41,0,61,0,0,0,0,0,6,100,0,16,21,0,0,23,8,0,0,0,0,13,0,23,0,0,59,0,15,24,0,0,44,0,13,0,9,31,0,0,0,0,0,0,0,0,0,0,0,34,16,0,0,10,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,5,50,55,64,0,0,0,0,7,6,0,0,0,0,0,0,0
Tropic Thunder,0,0,0,0,0,0,0,0,0,19,0,0,100,54,0,0,0,28,0,0,26,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,93,0,0,0,0,0,23,5,0,0,11,0,0,0,0,0,49,0,0,0,35,0,57,0,0,0,0,28,0,0,0,0,0,0,0,0,56,13,0,0,0,0,0,0,42,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,40,37,0,26,14,12,0,87,0,29,48,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,15,0,0,0,0,0,34,0,73,0,0,0,0,0,0,0,69,0,30,0,0,0,0,0,10,43,0,14,30,57,0,31,4,0,0,0,0,19,0,34,0,0,65,0,20,37,0,0,34,0,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,62,35,0,0,12,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,45,73,98,0,0,0,0,10,8,0,0,0,0,0,0,0
Trouble the Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Twilight,0,0,60,0,0,0,0,0,0,14,0,0,83,60,0,0,0,40,0,0,80,0,0,0,0,0,0,0,0,11,0,0,0,33,0,0,0,0,89,0,0,0,0,0,24,6,0,0,12,0,0,0,0,0,38,0,0,0,52,0,55,0,0,0,0,79,0,0,0,0,0,0,0,0,58,90,0,0,0,0,0,0,56,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,31,54,0,46,56,19,0,61,0,24,66,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,50,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,70,0,0,0,0,0,49,0,72,0,0,0,0,0,0,0,69,0,66,0,0,0,0,0,12,95,0,18,52,95,0,76,6,0,0,0,0,23,0,43,0,0,62,0,80,0,0,0,61,0,13,0,15,58,0,0,0,0,0,0,0,0,0,0,0,68,50,0,0,8,0,0,31,0,0,0,0,0,100,15,0,0,0,0,0,0,6,45,66,85,0,0,0,0,18,10,0,0,0,0,0,0,0
U2 3D,0,0,0,0,0,0,0,0,0,28,0,0,27,43,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,29,0,0,0,13,0,0,0,0,52,0,0,0,0,0,24,0,0,0,10,0,0,0,0,0,84,0,0,0,100,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,66,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,52,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,58,77,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,32,57,0,0,19,0,9,0,41,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,24,34,22,0,0,0,0,0,0,0,0,0,0,0,0
Untraceable,0,0,0,0,0,0,0,0,0,20,0,0,95,67,0,0,0,36,0,0,55,0,0,0,0,0,0,0,0,7,0,0,0,34,0,0,0,0,97,0,0,0,0,0,23,9,0,0,12,0,0,0,0,0,80,0,0,0,26,0,80,0,0,0,0,23,0,0,0,78,0,0,0,0,65,12,0,0,0,0,0,0,56,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,33,32,0,45,13,13,0,88,0,39,5,0,4,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,39,0,0,0,0,0,43,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,17,0,0,0,0,0,72,0,100,0,0,29,0,0,0,0,65,0,51,0,0,0,0,0,0,75,0,31,61,89,0,63,4,0,0,0,0,27,0,39,0,0,81,0,29,47,0,0,86,0,15,0,11,54,0,0,0,0,0,0,0,0,0,0,0,66,43,0,0,20,0,0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,0,59,82,92,0,0,0,0,11,9,0,0,0,0,0,0,0
Valkyrie,0,0,0,0,0,0,0,0,0,7,0,0,18,9,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,23,0,0,0,0,0,12,2,0,0,4,0,0,0,0,12,10,0,0,0,11,0,17,0,0,0,0,5,0,0,0,0,0,0,0,0,19,11,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,6,19,3,0,13,0,6,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,26,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,23,0,7,0,0,0,0,0,5,100,0,8,9,18,0,9,5,0,0,0,0,5,0,9,0,0,43,0,8,0,0,0,10,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,9,0,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,4,10,14,21,0,0,0,0,6,8,0,0,0,0,0,0,0
