Title,ReleaseDate,Genre,Rating
The 40 Year Old Virgin,"August 19, 2005","Comedy, Romance",73
51 Birch Street,"October 18, 2006",Documentary,77
The Adventures of Sharkboy and Lavagirl 3-D,"June 10, 2005","Action, Adventure, Fantasy, Family",38
Aliens of the Deep,"January 28, 2005",Documentary,71
Alone in the Dark,"January 28, 2005","Action, Fantasy, Horror",9
The Amityville Horror,"April 15, 2005","Drama, Mystery, Thriller, Horror",33
Are We There Yet?,"January 21, 2005","Adventure, Drama, Comedy, Romance, Family",27
The Aristocrats,"July 29, 2005","Comedy, Documentary",72
Assault on Precinct 13,"January 19, 2005","Action, Drama, Thriller, Crime",54
Bad News Bears,"July 22, 2005","Sport, Comedy, Family",65
The Ballad of Jack and Rose,"March 25, 2005",Drama,59
Batman Begins,"June 15, 2005","Action, Drama, Thriller, Crime",70
The Baxter,"August 26, 2005","Drama, Comedy, Romance",51
Be Cool,"March 4, 2005","Comedy, Crime",37
Beauty Shop,"March 30, 2005",Comedy,53
Because of Winn-Dixie,"February 18, 2005","Drama, Comedy, Family",54
Bee Season,"November 11, 2005",Drama,54
Bewitched,"June 24, 2005","Fantasy, Comedy, Romance",34
Bigger Than the Sky,"February 18, 2005","Drama, Comedy, Romance",21
Boogeyman,"February 4, 2005","Drama, Mystery, Thriller, Horror",32
Brick,"March 31, 2006","Drama, Mystery, Crime",72
Brokeback Mountain,"December 9, 2005","Drama, Romance, Western",87
Broken Flowers,"August 5, 2005","Drama, Mystery, Comedy",79
The Brothers Grimm,"August 26, 2005","Adventure, Thriller, Fantasy, Comedy",51
Capote,"September 30, 2005","Biography, Drama, Crime",88
Casanova,"December 25, 2005","Adventure, Drama, Comedy, Romance",57
Cave of Forgotten Dreams,"April 29, 2011","History, Documentary",86
Charlie and the Chocolate Factory,"July 15, 2005","Adventure, Fantasy, Comedy, Family",72
Cheaper by the Dozen 2,"December 21, 2005","Adventure, Comedy, Family",34
Chicken Little,"November 4, 2005","Adventure, Sci-Fi, Comedy, Animation, Family",48
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","December 9, 2005","Adventure, Fantasy, Family",75
The Chumscrubber,"August 5, 2005","Drama, Comedy",41
Cinderella Man,"June 3, 2005","Biography, Drama, Sport",69
Coach Carter,"January 14, 2005","Drama, Sport",57
Constantine,"February 18, 2005","Thriller, Fantasy, Horror",50
