Title,ReleaseDate,Genre,Rating
The Dreamers,6-Feb-04,"Drama, History, Romance",62
Eternal Sunshine of the Spotless Mind,19-Mar-04,"Drama, Romance",89
Saints and Sinners,18-Jun-04,Documentary,57
Saints and Sinners,18-Jun-04,Documentary,57
Dodgeball: A True Underdog Story,18-Jun-04,"Sport, Comedy",55
Garden State,28-Jul-04,"Drama, Comedy, Romance",67
Harold & Kumar Go to White Castle,30-Jul-04,"Adventure, Comedy",64
Ocean's Twelve,10-Dec-04,"Thriller, Crime",58
White Noise,7-Jan-05,"Sci-Fi, Drama, Mystery, Thriller, Horror",30
Coach Carter,14-Jan-05,"Drama, Sport",57
Elektra,14-Jan-05,"Action, Adventure, Fantasy",34
Racing Stripes,14-Jan-05,"Adventure, Drama, Sport, Comedy, Family",43
Assault on Precinct 13,19-Jan-05,"Action, Drama, Thriller, Crime",54
Are We There Yet?,21-Jan-05,"Adventure, Drama, Comedy, Romance, Family",27
Aliens of the Deep,28-Jan-05,Documentary,71
Alone in the Dark,28-Jan-05,"Action, Fantasy, Horror",9
Hide and Seek,28-Jan-05,"Mystery, Thriller, Horror",35
Boogeyman,4-Feb-05,"Drama, Mystery, Thriller, Horror",32
Inside Deep Throat,11-Feb-05,"History, Documentary",64
Because of Winn-Dixie,18-Feb-05,"Drama, Comedy, Family",54
Bigger Than the Sky,18-Feb-05,"Drama, Comedy, Romance",21
Constantine,18-Feb-05,"Thriller, Fantasy, Horror",50
Son of the Mask,18-Feb-05,"Adventure, Fantasy, Comedy, Family",20
Cursed,25-Feb-05,"Thriller, Fantasy, Horror, Comedy",31
Diary of a Mad Black Woman,25-Feb-05,"Drama, Comedy, Romance",36
Be Cool,4-Mar-05,"Comedy, Crime",37
The Pacifier,4-Mar-05,"Action, Drama, Thriller, Comedy, Family",30
Hostage,11-Mar-05,"Action, Drama, Thriller, Crime",44
Robots,11-Mar-05,"Adventure, Sci-Fi, Comedy, Romance, Animation, Family",64
The Upside of Anger,11-Mar-05,"Drama, Comedy, Romance",63
Ice Princess,18-Mar-05,"Drama, Sport, Comedy, Family",55
The Ring Two,18-Mar-05,"Drama, Mystery, Thriller, Horror",44
Miss Congeniality 2: Armed & Fabulous,24-Mar-05,"Action, Comedy, Crime",34
The Ballad of Jack and Rose,25-Mar-05,Drama,59
Guess Who,25-Mar-05,"Comedy, Romance",49
Beauty Shop,30-Mar-05,Comedy,53
Sin City,1-Apr-05,"Action, Thriller, Crime",74
Fever Pitch,8-Apr-05,"Drama, Sport, Comedy, Romance",56
Sahara,8-Apr-05,"Action, Adventure, Comedy",41
The Amityville Horror,15-Apr-05,"Drama, Mystery, Thriller, Horror",33
Enron: The Smartest Guys in the Room,22-Apr-05,Documentary,82
The Game of Their Lives,22-Apr-05,"Drama, History, Sport",47
The Interpreter,22-Apr-05,"Drama, Mystery, Thriller",62
A Lot Like Love,22-Apr-05,"Drama, Comedy, Romance",48
xXx: State of the Union,29-Apr-05,"Action, Adventure, Thriller, Crime",37
House of Wax,6-May-05,"Thriller, Horror",41
Kingdom of Heaven,6-May-05,"Action, Adventure, History",63
Mad Hot Ballroom,13-May-05,"Music, Family, Documentary",71
Monster-in-Law,13-May-05,"Comedy, Romance",31
Dominion: Prequel to the Exorcist,20-May-05,"Thriller, Horror",55
The Longest Yard,27-May-05,"Drama, Sport, Comedy",48
Madagascar,27-May-05,"Adventure, Comedy, Animation, Family",57
Cinderella Man,3-Jun-05,"Biography, Drama, Sport",69
Lords of Dogtown,3-Jun-05,"Biography, Drama, Sport",56
The Adventures of Sharkboy and Lavagirl 3-D,10-Jun-05,"Action, Adventure, Fantasy, Family",38
The Honeymooners,10-Jun-05,"Drama, Comedy, Romance, Family",31
Mr. & Mrs. Smith,10-Jun-05,"Action, Thriller, Comedy, Romance",55
Batman Begins,15-Jun-05,"Action, Drama, Thriller, Crime",70
Me and You and Everyone We Know,17-Jun-05,"Drama, Comedy",76
Herbie Fully Loaded,22-Jun-05,"Adventure, Sport, Fantasy, Comedy, Romance, Family",47
Bewitched,24-Jun-05,"Fantasy, Comedy, Romance",34
Land of the Dead,24-Jun-05,"Sci-Fi, Thriller, Horror",71
Rize,24-Jun-05,"Music, Documentary",74
War of the Worlds,29-Jun-05,"Action, Adventure, Sci-Fi, Drama, Thriller",73
Rebound,1-Jul-05,"Sport, Comedy, Family",36
Rebound,1-Jul-05,"Sport, Comedy, Family",36
Rebound,1-Jul-05,"Sport, Comedy, Family",36
Dark Water,8-Jul-05,"Drama, Thriller, Horror",52
Murderball,8-Jul-05,"Sport, Documentary",87
Charlie and the Chocolate Factory,15-Jul-05,"Adventure, Fantasy, Comedy, Family",72
Happy Endings,15-Jul-05,"Drama, Thriller, Comedy, Music",57
Wedding Crashers,15-Jul-05,"Comedy, Romance",64
Bad News Bears,22-Jul-05,"Sport, Comedy, Family",65
Hustle & Flow,22-Jul-05,"Drama, Crime, Music",68
The Aristocrats,29-Jul-05,"Comedy, Documentary",72
Must Love Dogs,29-Jul-05,"Comedy, Romance",46
Sky High,29-Jul-05,"Adventure, Sci-Fi, Comedy, Family",62
Stealth,29-Jul-05,"Action, Adventure, Sci-Fi, Thriller",35
Junebug,3-Aug-05,"Drama, Comedy",80
Broken Flowers,5-Aug-05,"Drama, Mystery, Comedy",79
The Chumscrubber,5-Aug-05,"Drama, Comedy",41
The Dukes of Hazzard,5-Aug-05,"Action, Adventure, Comedy",33
Duma,5-Aug-05,"Adventure, Drama, Family",82
Deuce Bigalow: European Gigolo,12-Aug-05,Comedy,23
Four Brothers,12-Aug-05,"Action, Drama, Mystery, Thriller, Crime",49
The Great Raid,12-Aug-05,"Action, Drama, War",48
Grizzly Man,12-Aug-05,"Biography, Documentary",87
Pretty Persuasion,12-Aug-05,"Drama, Comedy",45
The Skeleton Key,12-Aug-05,"Drama, Mystery, Thriller, Horror",47
Supercross,17-Aug-05,"Action, Drama, Sport, Romance",26
The 40 Year Old Virgin,19-Aug-05,"Comedy, Romance",73
Red Eye,19-Aug-05,Thriller,71
The Baxter,26-Aug-05,"Drama, Comedy, Romance",51
The Brothers Grimm,26-Aug-05,"Adventure, Thriller, Fantasy, Comedy",51
A Sound of Thunder,2-Sep-05,"Action, Adventure, Sci-Fi, Thriller",24
Transporter 2,2-Sep-05,"Action, Thriller, Crime",56
Underclassman,2-Sep-05,"Action, Drama, Thriller, Comedy, Crime",19
The Exorcism of Emily Rose,9-Sep-05,"Drama, Thriller, Horror, Crime",46
Green Street Hooligans,9-Sep-05,"Drama, Crime",55
An Unfinished Life,9-Sep-05,Drama,49
Corpse Bride,16-Sep-05,"Fantasy, Romance, Music, Animation",83
Everything Is Illuminated,16-Sep-05,"Drama, Comedy",58
Just Like Heaven,16-Sep-05,"Fantasy, Comedy, Romance",47
Lord of War,16-Sep-05,"Drama, Thriller, Crime",62
Proof,16-Sep-05,Drama,64
The Thing About My Folks,16-Sep-05,Comedy,48
Thumbsucker,16-Sep-05,"Drama, Comedy",69
Daltry Calhoun,23-Sep-05,"Drama, Comedy",30
Dirty Love,23-Sep-05,"Comedy, Romance",9
Flightplan,23-Sep-05,"Drama, Mystery, Thriller",53
A History of Violence,23-Sep-05,"Drama, Thriller, Crime",81
Roll Bounce,23-Sep-05,"Drama, Comedy, Romance, Music",59
Forty Shades of Blue,28-Sep-05,Drama,74
Capote,30-Sep-05,"Biography, Drama, Crime",88
The Greatest Game Ever Played,30-Sep-05,"Drama, History, Sport",55
Into the Blue,30-Sep-05,"Action, Adventure, Thriller, Crime",45
MirrorMask,30-Sep-05,"Adventure, Drama, Fantasy, Family",55
"The Prize Winner of Defiance, Ohio",30-Sep-05,"Biography, Drama",58
The War Within,30-Sep-05,Drama,61
The Squid and the Whale,5-Oct-05,"Drama, Comedy",82
"Good Night, and Good Luck.",7-Oct-05,"Drama, History",80
In Her Shoes,7-Oct-05,"Drama, Comedy, Romance",60
Never Been Thawed,7-Oct-05,Comedy,41
Two for the Money,7-Oct-05,"Drama, Sport, Thriller",50
Waiting...,7-Oct-05,Comedy,30
"Good Night, and Good Luck.",7-Oct-05,"Drama, History",80
Elizabethtown,14-Oct-05,"Drama, Comedy, Romance",45
North Country,14-Oct-05,Drama,68
Where the Truth Lies,14-Oct-05,"Drama, Mystery, Thriller",47
Kids in America,21-Oct-05,"Drama, Comedy",38
Kiss Kiss Bang Bang,21-Oct-05,"Mystery, Thriller, Comedy, Crime",72
Shopgirl,21-Oct-05,"Drama, Romance",62
The Legend of Zorro,28-Oct-05,"Action, Adventure, Western",47
New York Doll,28-Oct-05,"Music, Documentary",72
Saw II,28-Oct-05,"Mystery, Thriller, Horror",40
The Weather Man,28-Oct-05,"Drama, Comedy",61
Chicken Little,4-Nov-05,"Adventure, Sci-Fi, Comedy, Animation, Family",48
The Dying Gaul,4-Nov-05,"Drama, Romance",62
Jarhead,4-Nov-05,"Biography, Drama, War",58
Get Rich or Die Tryin',9-Nov-05,"Biography, Drama, Crime, Music",45
Bee Season,11-Nov-05,Drama,54
Derailed,11-Nov-05,"Drama, Thriller",40
