title,year,rated,released,runtime,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metaCriticRating,metascore,rating,type,boxoffice,production
Be Cool,2005,PG-13,Fri Mar 04 2005 00:00:00 GMT-0500 (EST),118 min,Comedy; Crime; Music,F. Gary Gray,John Travolta; Uma Thurman; Vince Vaughn; Cedric the Entertainer,Streetwise mobster-turned-movie producer Chili Palmer is back but this time Chili has abandoned the fickle movie industry and veered into the music business tangling with Russian mobsters and gangsta rappers and taking a talented feisty young singer named Linda Moon under his wing From the recording studio to an Aerosmith concert to the MTV Music Awards he manipulates events to watch them play out the Chili way using his signature blend of wiseguy skills and negotiation tactics Its a dangerous business and everyones looking for their next big hit,English; Russian,USA,1 win & 13 nominations,5.7/10,29%,37/100,37,5.7,movie,"$55,590,667",MGM/UA
Broken Flowers,2005,R,Fri Aug 26 2005 00:00:00 GMT-0400 (EDT),106 min,Comedy; Drama; Mystery,Jim Jarmusch,Bill Murray; Julie Delpy; Heather Simms; Brea Frazier,The resolutely single Don Johnston has just been dumped by his latest lover Sherry Don resigns himself to being alone yet again and left to his own devices Instead he is compelled to reflect on his past when he receives by mail a mysterious pink letter It is from an anonymous former lover and informs him that he has a 19-year-old son who may now be looking for his father Don is urged to investigate this mystery by his closest friend and neighbor Winston an amateur sleuth and family man Hesitant to travel at all Don nonetheless embarks on a cross-country trek in search of clues from four former flames Unannounced visits to each of these unique women hold new surprises for Don as he haphazardly confronts both his past and consequently his present,English,USA; France,5 wins & 12 nominations,7.2/10,87%,79/100,79,7.2,movie,"$13,578,173",Focus Features
Bigger Than the Sky,2005,PG-13,Fri Feb 18 2005 00:00:00 GMT-0500 (EST),106 min,Comedy; Drama; Romance,Al Corley,Marcus Thomas; John Corbett; Amy Smart; Sean Astin,After being dumped by his girlfriend a man stuck in a deadend life decides to audition for a small role in a local community theatres production of Cyrano de Bergerac Despite having no experience as an actor he lands the lead role which wreaks havoc upon his life,English,USA,N/A,6.1/10,12%,21/100,21,6.1,movie,N/A,MGM/UA
The Baxter,2005,PG-13,Sun Apr 24 2005 00:00:00 GMT-0400 (EDT),91 min,Comedy; Romance,Michael Showalter,Michael Showalter; Elizabeth Banks; Michelle Williams; Justin Theroux,In the style of a Howard Hawks comedy Baxter follows the twists and turns of a young mans life during the two weeks before his wedding,English,USA,N/A,6.7/10,32%,51/100,51,6.7,movie,N/A,IFC Films
Assault on Precinct 13,2005,R,Wed Jan 19 2005 00:00:00 GMT-0500 (EST),109 min,Action; Crime; Drama,Jean-François Richet,Ethan Hawke; Laurence Fishburne; Gabriel Byrne; Maria Bello,On New Years Eve inside a police station thats about to be closed for good officer Jake Roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to kill mobster Marion Bishop,English; Serbian,France; USA,1 win & 2 nominations,6.3/10,60%,54/100,54,6.3,movie,"$19,976,073",Focus Features
The Brothers Grimm,2005,PG-13,Fri Aug 26 2005 00:00:00 GMT-0400 (EDT),118 min,Adventure; Comedy; Fantasy,Terry Gilliam,Petr Ratimec; Barbora Lukesová; Anna Rust; Jeremy Robson,Folklore collectors and con artists Jake and Will Grimm travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms They are put to the test however when they encounter a real magical curse in a haunted forest with real magical beings requiring genuine courage,English; French; German; Italian,USA; Czech Republic; UK,4 wins & 5 nominations,5.9/10,38%,51/100,51,5.9,movie,N/A,Miramax Films
51 Birch Street,2005,UNRATED,Wed Oct 18 2006 00:00:00 GMT-0400 (EDT),90 min,Documentary,Doug Block,Carol Block; Doug Block; Ellen Block; Karen Block,Documentary filmmaker Doug Block had every reason to believe his parents 54-year marriage was a good one But when his mother dies unexpectedly and his father swiftly marries his former secretary he discovers two parents who are far more complex and troubled than he ever imagined 51 Birch Street is a riveting personal documentary that explores a universal human question: how much about your parents do you really want to know?,English,Germany; USA,1 win & 2 nominations,7.4/10,97%,77/100,77,7.4,movie,N/A,Truly Indie
The 40-Year-Old Virgin,2005,R,Fri Aug 19 2005 00:00:00 GMT-0400 (EDT),116 min,Comedy; Romance,Judd Apatow,Steve Carell; Catherine Keener; Paul Rudd; Romany Malco,Andy at the age of 40 still hasnt had sex He lets his secret slip at a poker game with his buds from work After the revealing all his friends are on a mission to help get him laid Along the way Andy meets a nice mom Trish and they fall head over heels for each other,English; Spanish; Japanese,USA,10 wins & 19 nominations,7.1/10,85%,73/100,73,7.1,movie,"$109,243,478",Universal Pictures
Because of Winn-Dixie,2005,PG,Fri Feb 18 2005 00:00:00 GMT-0500 (EST),106 min,Comedy; Drama; Family,Wayne Wang,AnnaSophia Robb; Jeff Daniels; Cicely Tyson; Dave Matthews,A 10-year-old girl abandoned by her mother when she was three moves to a small town in Florida with her father a preacher While there she adopts a stray dog whom she names after the local supermarket where he was found With her goofy pooch by her side she meets an eclectic group of townspeople and rekindles an almost lost relationship with her father,English,USA,2 nominations,6.4/10,54%,54/100,54,6.4,movie,"$32,500,000",20th Century Fox
Don't Come Knocking,2005,R,Thu Aug 25 2005 00:00:00 GMT-0400 (EDT),122 min,Drama; Music,Wim Wenders,James Roday; Jeffrey Vincent Parise; Majandra Delfino; Marieh Delfino,Howard Spence (Sam Shepard) has seen better days Once a big Western movie star he now drowns his disgust for his selfish and failed life with alcohol drugs and young women If he were to die now nobody would shed a tear over him thats the sad truth Until one day Howard learns that he might have a child somewhere out there The very idea seems like a ray of hope that his life wasnt all in vain So he sets out to find that young man or woman He discovers an entire life that he has missed,English,UK; France; Germany; USA,1 win & 7 nominations,6.7/10,43%,55/100,55,6.7,movie,"$345,961",Sony Pictures Classics
The Ballad of Jack and Rose,2005,R,Fri Apr 08 2005 00:00:00 GMT-0400 (EDT),112 min,Drama,Rebecca Miller,Camilla Belle; Daniel Day-Lewis; Catherine Keener; Ryan McDonald,Jack lives on the site of his abandoned island commune with his 16-year-old daughter Rose Jack has sheltered Rose from the influences of the outside world but now Roses emerging womanhood poses troubling questions about the days ahead A man who has lived a life motivated by environmentalism and other altruistic causes Jack now rages at those who do not share his concerns like developer Marty Rance who is building a housing tract on the edge of his property When Jack invites his girlfriend Kathleen and her sons Rodney and Thaddius to live with them Rose feels betrayed and the situation quickly becomes precarious Rose acts out wildly creating chaos As everything flies out of control Jack finds himself trapped in an impossible place and is forced to take action,English,USA,3 wins & 6 nominations,6.7/10,47%,59/100,59,6.7,movie,"$578,570",IFC Films
Beauty Shop,2005,PG-13,Wed Mar 30 2005 00:00:00 GMT-0500 (EST),105 min,Comedy,Bille Woodruff,Queen Latifah; Alicia Silverstone; Andie MacDowell; Alfre Woodard,You thought youd heard it all in the barbershop but you havent heard anything yet - the women get their own chance to shampoo shine and speak their minds in Beauty Shop,English,USA,15 nominations,5.5/10,38%,53/100,53,5.5,movie,"$36,310,118",MGM/UA
Cinderella Man,2005,PG-13,Fri Jun 03 2005 00:00:00 GMT-0400 (EDT),144 min,Biography; Drama; Sport,Ron Howard,Russell Crowe; Renée Zellweger; Paul Giamatti; Craig Bierko,During the Great Depression a common-man hero James J Braddock--aka the Cinderella Man--was to become one of the most surprising sports legends in history By the early 1930s the impoverished ex-prizefighter was seemingly as broken-down beaten-up and out-of-luck as much of the rest of the American populace who had hit rock bottom His career appeared to be finished he was unable to pay the bills the only thing that mattered to him--his family--was in danger and he was even forced to go on Public Relief But deep inside Jim Braddock never relinquished his determination Driven by love honor and an incredible dose the ones who are do of grit he willed an impossible dream to come true In a last-chance bid to help his family Braddock returned to the ring No one thought he had a shot However Braddock fueled by something beyond mere competition kept winning Suddenly the ordinary working man became the mythic athlete Carrying the hopes and dreams of the disenfranchised on his shoulders Braddock rocketed through the ranks until this underdog chose to do the unthinkable: take on the heavyweight champ of the world the unstoppable Max Baer renowned for having killed two men in the ring,English,USA,Nominated for 3 Oscars Another 16 wins & 41 nominations,8.0/10,80%,69/100,69,8,movie,"$61,600,000",Universal Pictures
The Dukes of Hazzard,2005,PG-13,Fri Aug 05 2005 00:00:00 GMT-0400 (EDT),104 min,Action; Adventure; Comedy,Jay Chandrasekhar,Johnny Knoxville; Seann William Scott; Alice Greczyn; Steve Lemme,Bo and Luke Duke are southern cousins In Hazzard County Bo and Luke help their Uncle Jesse and their sexy cousin Daisy run the Moonshine business and always getting into trouble with Sherriff Roscoe P Coltrane and recklessly driving in their orange car General Lee Boss Hogg the mean and corrupt local county commissioner who hates The Dukes evicts The Dukes from their farm Bo and Duke travels to Atlanta and meets up with old friend Katie Johnson and her friend Annette as they set out to find out why Boss Hogg has evicted them from their farm and what he plans to do With local ace race car driver Billy Prickett in town to take part in the Annual Hazzard Road Race rally Bo and Luke sets out to save their farm and foil Boss Hoggs scheme,English,USA,5 wins & 14 nominations,5.1/10,14%,33/100,33,5.1,movie,"$80,206,743",Warner Bros. Pictures
Deepwater,2005,R,Thu Jun 09 2005 00:00:00 GMT-0400 (EDT),93 min,Mystery; Thriller,David S. Marfield,Lucas Black; Peter Coyote; Mía Maestro; Lesley Ann Warren,After recovering from a twisted ankle the drifter Nat Banyon hitchhikes on the road trying to reach Wyoming where he dreams of owning an ostrich farm However an incident in a bar results in him stealing a car from the guy that was beating him up He heads to Wyoming but on the way he sees a car accident and saves the driver Herman Finch who owns the Deepwater Hotel While spending the night in the hotel Nat is arrested by the police but Finch releases him from jail and proposes to Nat to paint his hotel In return he gives an old blue Chrysler Newport to Nat and lodges and feeds him in the hotel While painting the hotel Nat becomes obsessed with Finchs wife Iris and discovers that Finch is a loan shark and corrupt Furthermore he hatches a scheme involving a car dealer (Walnut) and his partner the Indian Joe Littlefeet in the local casino After the mysterious death of a local and a policeman that had issues with Finch Nat decides to leave Deepwater but Iris seduces him and convinces Nat to leave after a box match promoted by Finch (so he can steal a large amount from the safe) On the day of the fight Nat discovers the hidden secret in Deepwater,English,USA; Canada,N/A,5.3/10,N/A,N/A,N/A,5.3,movie,N/A,Halcyon Entertainment
Dirty Love,2005,R,Fri May 05 2006 00:00:00 GMT-0400 (EDT),91 min,Comedy; Romance,John Asher,Jenny McCarthy; Eddie Kaye Thomas; Carmen Electra; Victor Webster,A modern day Cinderella story which sees disaster prone Rebecca embark on a journey in search of true love Betrayed by her boyfriend Richard and following a palm readers psychic prophecy Rebecca goes in search of her one true soul mate,English,USA,4 wins & 7 nominations,3.5/10,4%,9/100,9,3.5,movie,N/A,First Look
