title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
Be Cool|2005|PG-13|Fri Mar 04 2005 00:00:00 GMT-0500 (EST)|118 min|Comedy; Crime; Music|F. Gary Gray|John Travolta; Uma Thurman; Vince Vaughn; Cedric the Entertainer|Streetwise mobster-turned-movie producer Chili Palmer is back but this time Chili has abandoned the fickle movie industry and veered into the music business tangling with Russian mobsters and gangsta rappers and taking a talented feisty young singer named Linda Moon under his wing From the recording studio to an Aerosmith concert to the MTV Music Awards he manipulates events to watch them play out the Chili way using his signature blend of wiseguy skills and negotiation tactics Its a dangerous business and everyones looking for their next big hit|English; Russian|USA|1 win & 13 nominations|5.7/10|29%|37/100|37|5.7|movie|$55,590,667|MGM/UA|Be Cool|4-Mar-05|Comedy, Crime|37|Be Cool|27261|0|0|35|4
Broken Flowers|2005|R|Fri Aug 26 2005 00:00:00 GMT-0400 (EDT)|106 min|Comedy; Drama; Mystery|Jim Jarmusch|Bill Murray; Julie Delpy; Heather Simms; Brea Frazier|The resolutely single Don Johnston has just been dumped by his latest lover Sherry Don resigns himself to being alone yet again and left to his own devices Instead he is compelled to reflect on his past when he receives by mail a mysterious pink letter It is from an anonymous former lover and informs him that he has a 19-year-old son who may now be looking for his father Don is urged to investigate this mystery by his closest friend and neighbor Winston an amateur sleuth and family man Hesitant to travel at all Don nonetheless embarks on a cross-country trek in search of clues from four former flames Unannounced visits to each of these unique women hold new surprises for Don as he haphazardly confronts both his past and consequently his present|English|USA; France|5 wins & 12 nominations|7.2/10|87%|79/100|79|7.2|movie|$13,578,173|Focus Features|Broken Flowers|5-Aug-05|Drama, Mystery, Comedy|79|Broken Flowers|71452|0|12|72|3
The Baxter|2005|PG-13|Sun Apr 24 2005 00:00:00 GMT-0400 (EDT)|91 min|Comedy; Romance|Michael Showalter|Michael Showalter; Elizabeth Banks; Michelle Williams; Justin Theroux|In the style of a Howard Hawks comedy Baxter follows the twists and turns of a young mans life during the two weeks before his wedding|English|USA|N/A|6.7/10|32%|51/100|51|6.7|movie|N/A|IFC Films|The Baxter|26-Aug-05|Drama, Comedy, Romance|51|The Baxter|30699|0|5|29|0
Assault on Precinct 13|2005|R|Wed Jan 19 2005 00:00:00 GMT-0500 (EST)|109 min|Action; Crime; Drama|Jean-François Richet|Ethan Hawke; Laurence Fishburne; Gabriel Byrne; Maria Bello|On New Years Eve inside a police station thats about to be closed for good officer Jake Roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to kill mobster Marion Bishop|English; Serbian|France; USA|1 win & 2 nominations|6.3/10|60%|54/100|54|6.3|movie|$19,976,073|Focus Features|Assault on Precinct 13|19-Jan-05|Action, Drama, Thriller, Crime|54|Assault on Precinct 13|466185|0|119|378|49
The Brothers Grimm|2005|PG-13|Fri Aug 26 2005 00:00:00 GMT-0400 (EDT)|118 min|Adventure; Comedy; Fantasy|Terry Gilliam|Petr Ratimec; Barbora Lukesová; Anna Rust; Jeremy Robson|Folklore collectors and con artists Jake and Will Grimm travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms They are put to the test however when they encounter a real magical curse in a haunted forest with real magical beings requiring genuine courage|English; French; German; Italian|USA; Czech Republic; UK|4 wins & 5 nominations|5.9/10|38%|51/100|51|5.9|movie|N/A|Miramax Films|The Brothers Grimm|26-Aug-05|Adventure, Thriller, Fantasy, Comedy|51|The Brothers Grimm|936069|0|307|870|46
Because of Winn-Dixie|2005|PG|Fri Feb 18 2005 00:00:00 GMT-0500 (EST)|106 min|Comedy; Drama; Family|Wayne Wang|AnnaSophia Robb; Jeff Daniels; Cicely Tyson; Dave Matthews|A 10-year-old girl abandoned by her mother when she was three moves to a small town in Florida with her father a preacher While there she adopts a stray dog whom she names after the local supermarket where he was found With her goofy pooch by her side she meets an eclectic group of townspeople and rekindles an almost lost relationship with her father|English|USA|2 nominations|6.4/10|54%|54/100|54|6.4|movie|$32,500,000|20th Century Fox|Because of Winn-Dixie|18-Feb-05|Drama, Comedy, Family|54|Because of Winn-Dixie|19518|0|4|42|3
The Ballad of Jack and Rose|2005|R|Fri Apr 08 2005 00:00:00 GMT-0400 (EDT)|112 min|Drama|Rebecca Miller|Camilla Belle; Daniel Day-Lewis; Catherine Keener; Ryan McDonald|Jack lives on the site of his abandoned island commune with his 16-year-old daughter Rose Jack has sheltered Rose from the influences of the outside world but now Roses emerging womanhood poses troubling questions about the days ahead A man who has lived a life motivated by environmentalism and other altruistic causes Jack now rages at those who do not share his concerns like developer Marty Rance who is building a housing tract on the edge of his property When Jack invites his girlfriend Kathleen and her sons Rodney and Thaddius to live with them Rose feels betrayed and the situation quickly becomes precarious Rose acts out wildly creating chaos As everything flies out of control Jack finds himself trapped in an impossible place and is forced to take action|English|USA|3 wins & 6 nominations|6.7/10|47%|59/100|59|6.7|movie|$578,570|IFC Films|The Ballad of Jack and Rose|25-Mar-05|Drama|59|The Ballad of Jack and Rose|345122|0|47|288|19
Cinderella Man|2005|PG-13|Fri Jun 03 2005 00:00:00 GMT-0400 (EDT)|144 min|Biography; Drama; Sport|Ron Howard|Russell Crowe; Renée Zellweger; Paul Giamatti; Craig Bierko|During the Great Depression a common-man hero James J Braddock--aka the Cinderella Man--was to become one of the most surprising sports legends in history By the early 1930s the impoverished ex-prizefighter was seemingly as broken-down beaten-up and out-of-luck as much of the rest of the American populace who had hit rock bottom His career appeared to be finished he was unable to pay the bills the only thing that mattered to him--his family--was in danger and he was even forced to go on Public Relief But deep inside Jim Braddock never relinquished his determination Driven by love honor and an incredible dose the ones who are do of grit he willed an impossible dream to come true In a last-chance bid to help his family Braddock returned to the ring No one thought he had a shot However Braddock fueled by something beyond mere competition kept winning Suddenly the ordinary working man became the mythic athlete Carrying the hopes and dreams of the disenfranchised on his shoulders Braddock rocketed through the ranks until this underdog chose to do the unthinkable: take on the heavyweight champ of the world the unstoppable Max Baer renowned for having killed two men in the ring|English|USA|Nominated for 3 Oscars Another 16 wins & 41 nominations|8.0/10|80%|69/100|69|8|movie|$61,600,000|Universal Pictures|Cinderella Man|3-Jun-05|Biography, Drama, Sport|69|Cinderella Man|1564566|0|354|1818|83
The Dukes of Hazzard|2005|PG-13|Fri Aug 05 2005 00:00:00 GMT-0400 (EDT)|104 min|Action; Adventure; Comedy|Jay Chandrasekhar|Johnny Knoxville; Seann William Scott; Alice Greczyn; Steve Lemme|Bo and Luke Duke are southern cousins In Hazzard County Bo and Luke help their Uncle Jesse and their sexy cousin Daisy run the Moonshine business and always getting into trouble with Sherriff Roscoe P Coltrane and recklessly driving in their orange car General Lee Boss Hogg the mean and corrupt local county commissioner who hates The Dukes evicts The Dukes from their farm Bo and Duke travels to Atlanta and meets up with old friend Katie Johnson and her friend Annette as they set out to find out why Boss Hogg has evicted them from their farm and what he plans to do With local ace race car driver Billy Prickett in town to take part in the Annual Hazzard Road Race rally Bo and Luke sets out to save their farm and foil Boss Hoggs scheme|English|USA|5 wins & 14 nominations|5.1/10|14%|33/100|33|5.1|movie|$80,206,743|Warner Bros. Pictures|The Dukes of Hazzard|5-Aug-05|Action, Adventure, Comedy|33|The Dukes of Hazzard|251301|0|12||
Dirty Love|2005|R|Fri May 05 2006 00:00:00 GMT-0400 (EDT)|91 min|Comedy; Romance|John Asher|Jenny McCarthy; Eddie Kaye Thomas; Carmen Electra; Victor Webster|A modern day Cinderella story which sees disaster prone Rebecca embark on a journey in search of true love Betrayed by her boyfriend Richard and following a palm readers psychic prophecy Rebecca goes in search of her one true soul mate|English|USA|4 wins & 7 nominations|3.5/10|4%|9/100|9|3.5|movie|N/A|First Look|Dirty Love|23-Sep-05|Comedy, Romance|9|Dirty Love|143184|0|19|102|10
