title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount|movie_name|production_year|movie_odid|production_budget|domestic_box_office|international_box_office|rating|creative_type|source|production_method|genre|sequel|running_time
Fantastic Four|2005|PG-13|Fri Jul 08 2005 00:00:00 GMT-0400 (EDT)|106 min|Action; Adventure; Family|Tim Story|Ioan Gruffudd; Jessica Alba; Chris Evans; Michael Chiklis|Reed Richards a brilliant but timid and bankrupt scientist is convinced that evolution can be triggered by clouds of cosmic energy and has calculated that Earth is going to pass one of these clouds soon Together with his friend and partner the gruff yet gentle astronaut muscle-man Ben Grimm Reed convinces his conceited MIT classmate Dr Victor Von Doom now CEO of his own enterprise to allow him access to his privately-owned space station Von Doom agrees in exchange for control over the experiment and a majority of the profits from whatever benefits it brings He thus brings aboard Susan Storm his shy though assertive chief genetics researcher and a former lover of Reeds with whom she had an acrimonious break-up and her diametrically opposed brother Johnny the maverick and hot-headed playboy pilot The astronauts make it home intact however before long they begin to mutate developing strange and amazing powers as a result of their exposure to the cloud! Reed is able to stretch like rubber Sue can turn invisible and create force fields especially when angered Johnny can produce fire at supernova temperatures and is able to fly and Ben is transformed into The Thing a large rock-like creature with super strength After Ben brooding about his situation on the Brooklyn Bridge inadvertently causes a major traffic pile-up whilst attempting to stop a man about to commit suicide the four manage to use their powers to prevent any loss of life and to rescue a fire truck and its crew from falling off the bridge in a resulting explosion The media dubs the team the Fantastic Four and whilst Johnny eagerly embraces his powers and new life Ben - the most heavily disfigured - particularly suffers from his transformation his disfigurement has caused his fiancée to abandon him and has seen him shunned and feared by much of New York Blaming himself Reed vows to return Ben to his human form and he Sue and Ben work on a cure constructing a healing chamber in Reeds high tech Baxter Building loft-turned-laboratory During this time Reed and Susan begin to grow close once again and Susan admits that she is not interested in Victor but ended their relationship because Reed feared to commit thinking only in terms of variables Unknown to the others however Victors body is also mutating he is turning into organic metal capable of absorbing and manipulating electrical energy known as Doctor Doom As a result of the disastrous expedition his company is going bankrupt and he is losing public stature blaming Reed for his misfortunes Victor swears revenge And Reed Ben Susan and Johnny must defeat Victor Von Doom and foil his evil plans once and for all|English|USA; Germany|3 wins & 12 nominations|5.7/10|27%|40/100|40|5.7|movie|$154,485,963|20th Century Fox|Fantastic Four|7-Aug-15|Action, Adventure, Sci-Fi, Fantasy|27|Fantastic Four|3662755|0|2585|8579|2752|Fantastic Four|2015|185150100|120000000|56117548|111860048|PG-13|Super Hero|Based on Comic/Graphic Novel|Live Action|Action|0|100
Nanny McPhee|2005|PG|Fri Jan 27 2006 00:00:00 GMT-0500 (EST)|97 min|Comedy; Family; Fantasy|Kirk Jones|Emma Thompson; Colin Firth; Kelly Macdonald; Thomas Brodie-Sangster|Mr Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers|English|USA; UK; France|3 wins & 4 nominations|6.6/10|73%|59/100|59|6.6|movie|$47,124,400|Universal Pictures|Nanny McPhee|27-Jan-06|Fantasy, Comedy, Family|59|Nanny McPhee|16490|0|0|7|1|Nanny McPhee|2006|11750100|25000000|47279279|81466299|PG|Fantasy|Based on Fiction Book/Short Story|Live Action|Adventure|0|99
Nanny McPhee|2005|PG|Fri Jan 27 2006 00:00:00 GMT-0500 (EST)|97 min|Comedy; Family; Fantasy|Kirk Jones|Emma Thompson; Colin Firth; Kelly Macdonald; Thomas Brodie-Sangster|Mr Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers|English|USA; UK; France|3 wins & 4 nominations|6.6/10|73%|59/100|59|6.6|movie|$47,124,400|Universal Pictures|Nanny McPhee|27-Jan-06|Fantasy, Comedy, Family|59|Nanny McPhee|16490|0|0|7|1|Nanny McPhee|2006|11750100|25000000|47279279|81466299|PG|Fantasy|Based on Fiction Book/Short Story|Live Action|Adventure|0|99
Nanny McPhee|2005|PG|Fri Jan 27 2006 00:00:00 GMT-0500 (EST)|97 min|Comedy; Family; Fantasy|Kirk Jones|Emma Thompson; Colin Firth; Kelly Macdonald; Thomas Brodie-Sangster|Mr Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers|English|USA; UK; France|3 wins & 4 nominations|6.6/10|73%|59/100|59|6.6|movie|$47,124,400|Universal Pictures|Nanny McPhee|27-Jan-06|Fantasy, Comedy, Family|59|Nanny McPhee|16490|0|0|7|1|Nanny McPhee|2006|11750100|25000000|47279279|81466299|PG|Fantasy|Based on Fiction Book/Short Story|Live Action|Adventure|0|99
Nanny McPhee|2005|PG|Fri Jan 27 2006 00:00:00 GMT-0500 (EST)|97 min|Comedy; Family; Fantasy|Kirk Jones|Emma Thompson; Colin Firth; Kelly Macdonald; Thomas Brodie-Sangster|Mr Cedric Brown has just lost his wife and is now left with his seven children who misbehave so much that all the nannies have run away Now he is told by a mysterious voice that he should get Nanny McPhee who is a magical woman with special powers|English|USA; UK; France|3 wins & 4 nominations|6.6/10|73%|59/100|59|6.6|movie|$47,124,400|Universal Pictures|Nanny McPhee|27-Jan-06|Fantasy, Comedy, Family|59|Nanny McPhee|16490|0|0|7|1|Nanny McPhee|2006|11750100|25000000|47279279|81466299|PG|Fantasy|Based on Fiction Book/Short Story|Live Action|Adventure|0|99
BloodRayne|2005|R|Fri Jan 06 2006 00:00:00 GMT-0500 (EST)|95 min|Action; Adventure; Fantasy|Uwe Boll|Kristanna Loken; Michael Madsen; Matthew Davis; Will Sanderson|In the Eighteenth Century Rayne is the half-human half-vampire Dhampir and the lead attraction in a carnivals freak-show in Romania When she escapes she meets a fortuneteller that tells that her mother was raped by the king of the vampires Kagan and she decides to destroy her father In her journey for revenge she meets Vladimir and Sebastian the leaders of the fortress of vampire hunters Brimstone and she joins their society She seeks for powerful talismans to defeat Kagan while the skilled warriors Vladimir and Sebastian train her to face the forces of Kagan and her human side falls in love with Sebastian|English|Germany; USA|4 wins & 11 nominations|2.9/10|4%|18/100|18|2.9|movie|$1,550,000|Fantastic Films International|BloodRayne|6-Jan-06|Action, Adventure, Fantasy, Horror, Comedy|18|BloodRayne|831394|0|359|457|226|BloodRayne|2006|54100100|25000000|2405420|1200000|R|Fantasy|Based on Game|Live Action|Action|0|92
V for Vendetta|2005|R|Fri Mar 17 2006 00:00:00 GMT-0500 (EST)|132 min|Action; Drama; Sci-Fi|James McTeigue|Natalie Portman; Hugo Weaving; Stephen Rea; Stephen Fry|Tells the story of Evey Hammond and her unlikely but instrumental part in bringing down the fascist government that has taken control of a futuristic Great Britain Saved from a life-and-death situation by a man in a Guy Fawkes mask who calls himself V she learns a general summary of Vs past and after a time decides to help him bring down those who committed the atrocities that led to Britain being in the shape that it is in|English|USA; UK; Germany|7 wins & 27 nominations|8.2/10|73%|62/100|62|8.2|movie|$70,500,000|Warner Bros. Pictures|V for Vendetta|17-Mar-06|Action, Sci-Fi, Thriller|62|V for Vendetta|168130|0|60|211|56|V for Vendetta|2006|6980100|50000000|70511035|59703127|R|Science Fiction|Based on Comic/Graphic Novel|Live Action|Action|0|
Elsa & Fred|2005|PG|Thu Jul 28 2005 00:00:00 GMT-0400 (EDT)|108 min|Comedy; Drama; Romance|Marcos Carnevale|Manuel Alexandre; China Zorrilla; Blanca Portillo; José Ángel Egido|When the retired seventy-seven years old hypochondriac widower Fred moves to an apartment in Madrid his temperamental daughter Cuca has an incident with his next door neighbor the elder Argentinean Elsa Later they meet each other and Elsa seduces Fred with her reckless behavior and view of life and they have a romance|Spanish; Italian; English|Argentina; Spain|9 wins & 7 nominations|7.6/10|55%|52/100|52|7.6|movie|N/A|Mitropoulos Films|Elsa & Fred|7-Nov-14|Drama, Comedy, Romance, Family|49|Elsa & Fred|150829|0|24|291|7|Elsa & Fred|2014|210040100|10000000|67657|41487|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|105
A Prairie Home Companion|2006|PG-13|Fri Jun 09 2006 00:00:00 GMT-0400 (EDT)|105 min|Comedy; Drama; Music|Robert Altman|Marylouise Burke; Woody Harrelson; L.Q. Jones; Tommy Lee Jones|A final live variety show broadcast via radio becomes a metaphor for the natural order of life A concept and script by Garrison Keilor uses every natural and technical element of working with a tight and close ensemble producing a weekly show to sooth us and guide us through the natural but difficult transitions of aging becoming less relevant and then dying as new young life develops and strengthens during our final performances This is a rare film for its remarkable cast and crew and one wonders how the great Robert Altman was able to gather them all at the same place and time to shoot this film|English; Norwegian|USA|5 wins & 21 nominations|6.8/10|81%|75/100|75|6.8|movie|N/A|Picturehouse|A Prairie Home Companion|9-Jun-06|Drama, Comedy, Music, Musical|75|A Prairie Home Companion|42791|0|6|81|3|A Prairie Home Companion|2006|24910100|10000000|20342852|6373339|PG-13|Contemporary Fiction|Original Screenplay|Live Action|Comedy|0|105
Basic Instinct 2|2006|R|Fri Mar 31 2006 00:00:00 GMT-0500 (EST)|114 min|Drama; Mystery; Thriller|Michael Caton-Jones|Stan Collymore; Sharon Stone; Neil Maskell; David Thewlis|Crime novelist Catherine Tramell is living in London and becomes the center of police investigation (yet again) when her football player boyfriend drowns in a car accident and it is revealed that he was already dead because of a drug overdose before Tramell drove the car into water Police psychoanalyst Dr Michael Glass is called for examining Tramell and is intrigued by the seductive and manipulative woman On the other hand  his friend Det Roy Washburn is sure Tramell is guilty Tramell asks Glass to treat her for her risk addiction problem and with each therapy session  Glass gets more and more suspicious about her intentions As more and more murders are committed including that of Glasss ex-wife Glass becomes obsessed with proving Tramells guilt even though the evidence is contradictory|English|UK; Germany; Spain; USA|8 wins & 6 nominations|4.3/10|7%|26/100|26|4.3|movie|$5,851,188|Sony Pictures|Basic Instinct 2|31-Mar-06|Mystery, Thriller, Crime|26|Basic Instinct 2|151978|0|6|54|11|Basic Instinct 2|2006|44650100|70000000|5946136|29471026|R|Contemporary Fiction|Original Screenplay|Live Action|Thriller/Suspense|1|114
