common_title,poster_path,videoKey,vote_count,original_title,popularity,vote_average,original_language,adult,id,release_date,overview,backdrop_path,genre_ids,video,title
The 40-Year-Old Virgin,/kFXfr0ioXRfxz4AvQ6RJ7iFF6PI.jpg,YnDeJn-BX5Q,2422,The 40 Year Old Virgin,22.115336,6.2,en,False,6957,2005-08-11,"Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",/rTxVvB9snqgEBI2BPLdw4iwvK2E.jpg,,False,The 40 Year Old Virgin
51 Birch Street,/cwGI84ROMZvjw1NR4d5UXbl8Bmt.jpg,,6,51 Birch Street,1.344816,6.8,en,False,79161,2006-10-18,"Documentary filmmaker Doug Block had every reason to believe his parents' 54-year marriage was a good one. But when his mother dies unexpectedly and his father swiftly marries his former secretary, he discovers two parents who are far more complex and troubled than he ever imagined. 51 Birch Street is a riveting personal documentary that explores a universal human question: how much about your parents do you really want to know?",,,False,51 Birch Street
The Adventures of Sharkboy and Lavagirl in 3-D,/wRwwPkulIpViuq6DsrPabb30lCD.jpg,mJP65NQwII8,372,The Adventures of Sharkboy and Lavagirl,8.595161,4.4,en,False,14199,2005-06-10,"Everyone always knew that Max had a wild imagination, but no one believed that his wildest creations -- a boy raised by watchful great white sharks and a girl with the force of a volcano -- were real. Now, these two pint-sized action masters will show Max that even an ordinary kid has what it takes to be extraordinary.",/pZs9RMIeXYbcBl2UggBZCOmncyH.jpg,,False,The Adventures of Sharkboy and Lavagirl
Æon Flux,/3rKw2QInyaACZ6wnqSg4nAXgKal.jpg,d11loPMnC2w,821,Æon Flux,11.755809,5.4,en,False,8202,2005-11-30,"400 years into the future, disease has wiped out the majority of the world's population, except one walled city, Bregna, ruled by a congress of scientists. When Æon Flux, the top operative in the underground 'Monican' rebellion, is sent on a mission to kill a government leader, she uncovers a world of secrets.",/3c7e0IywQOmPKyVRPwNe2uys0MZ.jpg,,False,Æon Flux
Aliens of the Deep,/pB1HMawACKSpuxcYiufw2pzX63c.jpg,,20,Aliens of the Deep,4.751002,6.7,en,False,22559,2005-01-21,"James Cameron teams up with NASA scientists to explore the Mid-Ocean Ridge, a submerged chain of mountains that band the Earth and are home to some of the planet's most unique life forms.",/l4LNrumbRW9Z34kIvijAEllKVG8.jpg,,False,Aliens of the Deep
Alone in the Dark,/3HsprIjUEwYfnlEf7jumGm037Bk.jpg,P-Gc5bgZ2B8,197,Alone in the Dark,6.867728,3.1,en,False,12142,2005-01-28,"Edward Carnby is a private investigator specializing in unexplainable supernatural phenomena. His cases delve into the dark corners of the world, searching for truth in the occult remnants of ancient civilizations. Now, the greatest mystery of his past is about to become the most dangerous case he has ever faced.",/jQEHbhmgaeQ7IwR2TUBONkVfnBx.jpg,,False,Alone in the Dark
The Amityville Horror,/cZW2ajrHSiA0Ar2o00g4ezUYqZX.jpg,2K2btthxp74,758,The Amityville Horror,9.126682,6,en,False,10065,2005-04-15,A family is terrorized by demonic forces after moving into a home that was the site of a grisly mass-murder.,/zrLF8DtMgdiLfNbJU6VrhaN8Mpf.jpg,,False,The Amityville Horror
Are We There Yet?,/e081B8b8ZCAfeyof5Zm6dNwJOmp.jpg,xFvco0kn7bw,286,Are We There Yet?,7.687024,5.2,en,False,11637,2005-01-20,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick.",/yF74RJ1r87tqXbcPpeYs9AEXYbm.jpg,,False,Are We There Yet?
The Aristocrats,/rOxaqCgNFytAQSoyOTsDkxDnG39.jpg,CxGD0rk547Y,56,The Aristocrats,4.175389,6.1,en,False,15258,2005-01-01,"One hundred superstar comedians tell the same very, VERY dirty, filthy joke--one shared privately by comics since Vaudeville.",/fPzzlAEa5a0cYsYS7Vllg86ZnhT.jpg,,False,The Aristocrats
Assault on Precinct 13,/slEQz6DLEQ7YbbDfjZYMEU0qBnK.jpg,bvBVGeNY1W4,370,Assault on Precinct 13,9.134041,6,en,False,8978,2005-01-19,"On New Year's Eve, inside a police station that's about to be closed for good, officer Jake Roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to kill mobster Marion Bishop.",/gVDw8QG2uDOHEmUNGpHoIatkJdo.jpg,,False,Assault on Precinct 13
Bad News Bears,/fsOwHPZBtCgn1APmOtWlp1KNcIZ.jpg,sF6De-XP7x4,112,The Bad News Bears,5.944079,7,en,False,23479,1976-04-07,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",/yXKfxxDCm8PJURjtylWsDUolItn.jpg,,False,The Bad News Bears
The Ballad of Jack and Rose,/8gJATVMk0P6tiGprjBWdYxBRrSn.jpg,J4NhD8BFaPg,53,The Ballad of Jack and Rose,5.481167,6.6,en,False,17113,2005-03-25,"Jack Slavin is an environmentalist with a heart condition who lives with his daughter, Rose, on an isolated island. While Jack fights against developers who wish to build in the area, he also craves more contact with other people. When he invites his girlfriend, Kathleen, and her sons, Rodney and Thaddius, to move in, Rose is upset. The complicated family dynamics makes things difficult for everyone in the house.",/3txEZYQ0or6ggknOrMnBaSLsrxw.jpg,,False,The Ballad of Jack and Rose
Batman Begins,/dr6x4GyyegBWtinPBzipY02J2lV.jpg,bkU7Cl2SSvI,8913,Batman Begins,43.959318,7.5,en,False,272,2005-06-10,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",/65JWXDCAfwHhJKnDwRnEgVB411X.jpg,,False,Batman Begins
The Baxter,/ruUrDjm0MYfdshx3UX1Xb4RAL89.jpg,T4mzrmBql-E,16,The Baxter,2.95675,5.9,en,False,13169,2005-04-24,"A man with a ""doormat"" personality tries standing up for himself for a change in this comedy. Mild mannered tax accountant Elliot Sherman (Michael Showalter) is what he calls a ""Baxter"": the kind of calm, unexciting fellow who ""wears sock garters"" and ""enjoys raking leaves."" Loved by bosses and parents, Elliot is a perfectly nice guy. And that's his problem.",/elQTn33WvUWcMXfe44KjL545ZZH.jpg,,False,The Baxter
Be Cool,/ekKCH7Zkb5ZTr1f1AczZY23FH.jpg,myWOyJRswyM,351,Be Cool,7.902244,5.3,en,False,4551,2005-03-04,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way.",/eT84ElbmCj7SznhxznXLBkmE0uF.jpg,,False,Be Cool
Beauty Shop,/44vECj9Ntzfya4iGWTHN2QKTdrq.jpg,,140,Beauty Shop,6.129221,5.3,en,False,14177,2005-06-02,"You thought you'd heard it all in the barbershop, but you haven't heard anything yet - the women get their own chance to shampoo, shine, and speak their minds in Beauty Shop.",/6rIMexK9ir0qAU8W2TB9TkQcvLW.jpg,,False,Beauty Shop
Because of Winn-Dixie,/oMUFS7HmIyTeui5xuoIEkPYTWC8.jpg,FtfWMexIZNc,77,Because of Winn-Dixie,6.680286,6.1,en,False,17880,2005-02-18,"A girl, abandoned by her mother when she was three, moves to a small town in Florida with her father. There, she adopts an orphaned dog she names Winn-Dixie. The bond between the girl and her special companion brings together the people in a small Florida town and heals her own troubled relationship with her father.",/varlHZcTuozj9WUz3XX4DzDzVA3.jpg,,False,Because of Winn-Dixie
Bee Season,/fJEblXhiBMmSWZCbAXru7Mgx1Yf.jpg,,33,Bee Season,3.955238,5.1,en,False,24618,2005-09-03,"11-year-old Eliza Naumann comes from an odd family; they all divert their emotional frustrations into secret channels. When Eliza unexpectedly begins winning spelling bees, what had been a stable dynamic within the family becomes disrupted; long held secrets emerge, and a latent spiritual yearning is awakened in her withdrawn father Saul and compulsive mother Miriam. As Eliza moves closer and clos",/gMumsLZiRESBFVNv4AFxaEduHfi.jpg,,False,Bee Season
Bewitched,/auUAybijSJ72XuTaPgh0EhvyJ13.jpg,hS05j44UKUU,583,Bewitched,8.472577,4.7,en,False,9722,2005-06-21,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic show ""Bewitched"".",/v70hb94BzcmHOqMPy02n8Nw30zT.jpg,,False,Bewitched
Bigger Than the Sky,/lUS5gsOINM2qYTh5GFgBxhufox2.jpg,,7,Bigger Than the Sky,1.81447,4.9,en,False,51177,2005-02-18,"After being dumped by his girlfriend, a man stuck in a deadend life decides to audition for a small role in a local community theatre's production of Cyrano de Bergerac. Despite having no experience as an actor, he lands the lead role, which wreaks havoc upon his life.",/2OsjXdwTtRa3kOFxvvj2PU5vZGR.jpg,,False,Bigger Than the Sky
Boogeyman,/uG61rNRVfBx7sHJp42wlN5yLouU.jpg,Ys2wjByC3zU,241,Boogeyman,7.20166,4.7,en,False,8968,2005-02-04,"Every culture has one – the horrible monster fueling young children's nightmares. But for Tim, the Boogeyman still lives in his memories as a creature that devoured his father 16 years earlier. Is the Boogeyman real? Or did Tim make him up to explain why his father abandoned his family?",/gEN5vnOpcFBYQzTDO8nlEOmlNd.jpg,,False,Boogeyman
Brick,/hyALqQpaTv0GGV4axqePihEmCY8.jpg,4Zfw8__A7ps,449,Brick,6.76434,6.7,en,False,9270,2005-01-30,A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.,/paHvFDm2uLTzVXpb59fsuJCz89b.jpg,,False,Brick
Brokeback Mountain,/z2DqVxj17aW6xpimRlCLfhKSfUm.jpg,sCytaMge7bY,2006,Brokeback Mountain,20.228447,7.6,en,False,142,2005-09-02,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,/4BMel8xxSed1pCkPSGc9R3jsUtC.jpg,,False,Brokeback Mountain
Broken Flowers,/pvtdRUpJE6YjIi8BLEZ7jhEdeN1.jpg,GHmFlLwTNLk,436,Broken Flowers,6.766716,6.8,en,False,308,2005-05-17,"As the devoutly single Don Johnston is dumped by his latest girlfriend, he receives an anonymous pink letter informing him that he has a son who may be looking for him.",/mQGEByVNnKiOVoAMDJ9KhvlCtgz.jpg,,False,Broken Flowers
The Brothers Grimm,/g6EgJUwwQre5RsvFj2hDsLzXUsH.jpg,W3QkwDld1d4,1079,The Brothers Grimm,23.982248,5.6,en,False,4442,2005-08-26,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test  when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",/qNNJNbqWDa4MrIAPul58U1LVAZ8.jpg,,False,The Brothers Grimm
Capote,/k7z0tDxzbDNev7F8l3Y56Pk5seR.jpg,Q4BvvJ69pIQ,496,Capote,6.967578,6.9,en,False,398,2005-09-30,"A biopic of the writer, Truman Capote and his assignment for The New Yorker to write the non-fiction book, 'In Cold Blood'.",/vXm2sO7SoHGJuXY6CEJJaC1T6TX.jpg,,False,Capote
Casanova,/tX9QmK232VUgnTtOHJXgnqhpDl9.jpg,FLbl01QrMzI,267,Casanova,8.273326,6.2,en,False,9681,2005-12-25,"With a reputation for seducing members of the opposite sex, regardless of their marital status, a notorious womanizer discovers a beauty who seems impervious to his charms. However, as he continues to pursue the indifferent lady, he finds himself falling in love.",/Q4XKnmSBP54jiawMBcGU0sgVcD.jpg,,False,Casanova
