common_title,viewCount,favoriteCount,commentCount,likeCount,dislikeCount
The 40-Year-Old Virgin,392945,0,28,503,34
The Adventures of Sharkboy and Lavagirl in 3-D,1658176,0,,,
Æon Flux,686125,0,86,719,66
Alone in the Dark,245766,0,59,99,132
The Amityville Horror,193572,0,44,199,15
Are We There Yet?,1089554,0,226,,
The Aristocrats,64994,0,10,63,9
Assault on Precinct 13,466185,0,119,378,49
Bad News Bears,262414,0,,,
The Ballad of Jack and Rose,345122,0,47,288,19
Batman Begins,13156,0,4,30,6
The Baxter,30699,0,5,29,0
Be Cool,27261,0,0,35,4
Because of Winn-Dixie,19518,0,4,42,3
Bewitched,77076,0,15,670,9
Boogeyman,114931,0,16,137,15
Brick,335137,0,214,1181,34
Brokeback Mountain,52637,0,29,,
Broken Flowers,71452,0,12,72,3
The Brothers Grimm,936069,0,307,870,46
Capote,520774,0,12,606,31
Casanova,376398,0,32,212,10
The Cave,1304278,0,383,952,127
Charlie and the Chocolate Factory,122100,0,21,157,14
Cheaper by the Dozen 2,173969,0,29,137,4
Chicken Little,869880,0,,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",104210,0,9,110,9
The Chumscrubber,107683,0,43,151,5
Cinderella Man,1564566,0,354,1818,83
Coach Carter,1386696,0,294,1434,39
Constantine,305594,0,60,472,28
Corpse Bride,408614,0,60,1634,41
The Crow: Wicked Prayer,508,0,0,1,0
Cursed,42805,0,9,152,13
Daltry Calhoun,4721,0,2,17,2
Dark Water,249141,0,53,196,19
Deepwater,5432192,0,2268,12432,1113
Derailed,56670,0,1,35,6
Deuce Bigalow: European Gigolo,24607,0,,,
The Devil's Rejects,418095,0,125,332,39
Diary of a Mad Black Woman,628499,0,69,2491,95
Dirty Love,143184,0,19,102,10
Dominion: Prequel to the Exorcist,10151,0,1,7,1
Domino,997178,0,220,1122,92
Don't Come Knocking,36127,0,3,52,0
Doom,791475,0,462,1854,183
Dreamer,23336,0,58,490,2
Duck,66114,0,14,88,7
The Dukes of Hazzard,251301,0,12,,
Duma,10154,0,0,13,1
The Dying Gaul,315170,0,22,110,20
Elektra,15887,0,7,21,4
Elizabethtown,450363,0,93,616,22
Enron: The Smartest Guys in the Room,228503,0,12,285,8
Everything Is Illuminated,899407,0,509,2433,58
The Exorcism of Emily Rose,41306,0,4,118,8
The Family Stone,1068436,0,156,823,61
Fantastic Four,3662755,0,2585,8579,2752
Favela Rising,1669827,0,268,1315,138
First Descent,252480,0,69,290,6
Flightplan,1051507,0,292,1524,86
The Fog,549977,0,304,1251,55
Forty Shades of Blue,6622,0,3,5,0
Four Brothers,681295,0,,,
Fun with Dick and Jane,99117,0,2,,
Get Rich or Die Tryin',406850,0,96,396,18
Getting Played,14737,0,0,,
Goal!,612986,0,84,446,17
The Gospel,4569,0,1,37,1
"Good Night, and Good Luck",13260,0,2,25,0
The Great Raid,5591,0,0,10,1
The Greatest Game Ever Played,311913,0,54,321,10
Green Street,4214574,0,1962,6516,221
Grizzly Man,70370,0,,,
Guess Who,84744,0,6,,
Happy Endings,174344,0,0,71,2
Harry Potter and the Goblet of Fire,930557,0,218,2655,110
Her Minor Thing,145236,0,26,84,4
Herbie: Fully Loaded,229172,0,,,
Hide and Seek,2949421,0,1586,4437,275
A History of Violence,9899,0,0,4,0
Hitch,72510,0,11,373,11
The Hitchhiker's Guide to the Galaxy,2090833,0,1488,7115,181
